submission_id,preferred_abc,preferred_a_or_d,preferred_overall
g5N6VO,Coffee A,Coffee D,Coffee D
eBxWXO,Coffee B,Coffee A,Coffee B
KMBKj7,Coffee B,Coffee A,Coffee B
5dqP06,Coffee C,Coffee D,Coffee C
zKQ58a,Coffee A,Coffee D,Coffee D
EPb7RN,Coffee A,Coffee A,Coffee A
DVv685,Coffee A,Coffee D,Coffee D
RzByed,Coffee A,Coffee D,Coffee D
oAVLjV,Coffee A,Coffee D,Coffee D
dY2ery,Coffee B,Coffee D,Coffee D
pLPp2b,Coffee B,Coffee A,Coffee B
QABlN8,Coffee A,Coffee D,Coffee C
GrBAZj,Coffee C,Coffee D,Coffee C
YZzl75,Coffee C,Coffee D,Coffee B
ylq58B,Coffee B,Coffee A,Coffee B
ylq5AB,Coffee C,Coffee D,Coffee C
AlbeR0,Coffee A,Coffee D,Coffee D
dY2eoo,Coffee A,Coffee D,Coffee B
YZzlAd,Coffee C,Coffee D,Coffee C
NAB1NB,Coffee A,Coffee D,Coffee D
aBrqR9,Coffee B,Coffee A,Coffee B
LdMLr1,Coffee A,Coffee A,Coffee C
zKQ5k1,Coffee A,Coffee A,Coffee A
42NVbO,Coffee B,Coffee A,Coffee B
oAVLJ1,Coffee A,Coffee D,Coffee D
jB9AN6,Coffee A,Coffee A,Coffee A
qbE1l7,Coffee B,Coffee D,Coffee D
42NV0X,Coffee B,Coffee A,Coffee B
7d9rrA,Coffee C,Coffee A,Coffee C
5dqPNM,Coffee A,Coffee D,Coffee D
ZdRrbz,Coffee B,Coffee D,Coffee D
vNx5RA,Coffee C,Coffee A,Coffee C
0EjRqN,Coffee C,Coffee A,Coffee B
vNx59Q,Coffee C,Coffee A,Coffee C
EPb72o,Coffee A,Coffee D,Coffee D
dY2eJq,Coffee B,Coffee D,Coffee D
g5N6od,Coffee C,Coffee D,Coffee C
PABJxb,Coffee C,Coffee A,Coffee C
6dQEEB,Coffee A,Coffee D,Coffee D
6dQE6P,Coffee B,Coffee A,Coffee B
pLPpYq,Coffee C,Coffee D,Coffee D
RzByyJ,Coffee A,Coffee A,Coffee D
XeBP7g,Coffee C,Coffee A,Coffee C
rlrM8l,Coffee A,Coffee A,Coffee A
RzByqd,Coffee A,Coffee D,Coffee D
9dJjKY,Coffee B,Coffee D,Coffee D
RzByNl,Coffee C,Coffee D,Coffee C
VZ1O7J,Coffee A,Coffee D,Coffee D
vNx5kd,Coffee B,Coffee A,Coffee B
8dp4DO,Coffee A,Coffee D,Coffee D
7d9rkA,Coffee B,Coffee D,Coffee B
GrBAAp,Coffee B,Coffee A,Coffee B
rlrMQN,Coffee C,Coffee D,Coffee C
GrBAW2,Coffee C,Coffee A,Coffee C
6dQEqe,Coffee A,Coffee D,Coffee D
RzBypp,Coffee A,Coffee D,Coffee D
zKQ5AR,Coffee B,Coffee A,Coffee B
eBxWg0,Coffee C,Coffee D,Coffee D
jB9AAx,Coffee A,Coffee A,Coffee A
oAVLLV,Coffee A,Coffee A,Coffee A
YZzl6d,Coffee A,Coffee A,Coffee A
g5N6EN,Coffee A,Coffee A,Coffee A
xdN5AG,Coffee A,Coffee D,Coffee D
lNlkp5,Coffee C,Coffee D,Coffee C
ZdRrBy,Coffee A,Coffee A,Coffee A
YZzl2q,Coffee A,Coffee D,Coffee D
rlrM75,Coffee A,Coffee A,Coffee A
zKQ5Ba,Coffee B,Coffee D,Coffee B
0EjRX0,Coffee A,Coffee A,Coffee A
VZ1OgE,Coffee C,Coffee A,Coffee C
9dJjjY,Coffee A,Coffee A,Coffee A
J2kvE4,Coffee C,Coffee A,Coffee C
rlrM4M,Coffee B,Coffee D,Coffee B
1r2oLM,Coffee A,Coffee A,Coffee A
8dp4Bx,Coffee B,Coffee D,Coffee D
jB9A4a,Coffee A,Coffee A,Coffee A
42NVVO,Coffee A,Coffee D,Coffee D
bl4QRg,Coffee A,Coffee A,Coffee A
pLPpqq,Coffee A,Coffee A,Coffee B
AlbeXk,Coffee C,Coffee A,Coffee C
42NV6O,Coffee A,Coffee D,Coffee B
GrBAM2,Coffee A,Coffee D,Coffee D
LdML4j,Coffee C,Coffee D,Coffee C
42NVeB,Coffee C,Coffee D,Coffee D
QABllp,Coffee A,Coffee D,Coffee D
RzByNJ,Coffee C,Coffee D,Coffee D
oAVLP1,Coffee A,Coffee D,Coffee D
kYRBj1,Coffee A,Coffee D,Coffee D
EPb79q,Coffee A,Coffee D,Coffee D
aBrqMq,Coffee B,Coffee A,Coffee B
GrBAVZ,Coffee A,Coffee D,Coffee D
5dqP7d,Coffee A,Coffee A,Coffee A
kYRBL6,Coffee A,Coffee D,Coffee D
DVv6oR,Coffee B,Coffee D,Coffee D
GrBAGj,Coffee A,Coffee D,Coffee D
24xG9L,Coffee A,Coffee D,Coffee D
lNlkGW,Coffee B,Coffee D,Coffee D
vNx58v,Coffee A,Coffee D,Coffee D
g5N6BN,Coffee B,Coffee A,Coffee B
OABMRK,Coffee A,Coffee D,Coffee D
eBxWVq,Coffee C,Coffee D,Coffee D
g5N621,Coffee A,Coffee D,Coffee D
5dqPJM,Coffee A,Coffee D,Coffee D
7d9ryL,Coffee B,Coffee A,Coffee B
aBrq7E,Coffee C,Coffee A,Coffee C
XeBPa4,Coffee B,Coffee A,Coffee B
kYRBqJ,Coffee B,Coffee D,Coffee D
24xGGL,Coffee A,Coffee D,Coffee D
aBrqqq,Coffee C,Coffee A,Coffee C
VZ1O6v,Coffee A,Coffee A,Coffee A
jB9AjR,Coffee C,Coffee A,Coffee C
AlbeM0,Coffee A,Coffee D,Coffee D
NAB1ZQ,Coffee B,Coffee D,Coffee D
xdN5GG,Coffee B,Coffee D,Coffee D
oAVLJX,Coffee C,Coffee D,Coffee D
lNlkx5,Coffee C,Coffee A,Coffee C
ZdRrqa,Coffee B,Coffee D,Coffee B
OABM28,Coffee C,Coffee D,Coffee D
xdN5by,Coffee C,Coffee D,Coffee D
ylq5Lp,Coffee A,Coffee A,Coffee A
0EjR96,Coffee C,Coffee D,Coffee D
dY2eMA,Coffee C,Coffee D,Coffee C
jB9A4x,Coffee C,Coffee D,Coffee D
42NV5B,Coffee B,Coffee A,Coffee B
oAVLZP,Coffee B,Coffee A,Coffee B
EPb77X,Coffee C,Coffee D,Coffee C
pLPpQV,Coffee A,Coffee D,Coffee D
OABMq7,Coffee A,Coffee A,Coffee A
PABJJ5,Coffee B,Coffee A,Coffee B
1r2oQQ,Coffee A,Coffee D,Coffee D
6dQEoO,Coffee B,Coffee A,Coffee B
24xG6V,Coffee C,Coffee A,Coffee C
lNlkkB,Coffee C,Coffee A,Coffee C
oAVL8e,Coffee B,Coffee A,Coffee B
rlrMz5,Coffee A,Coffee D,Coffee D
42NV0k,Coffee A,Coffee D,Coffee D
MAdpZp,Coffee A,Coffee D,Coffee D
eBxW4E,Coffee A,Coffee D,Coffee D
rlrM4v,Coffee A,Coffee D,Coffee D
OABMx7,Coffee A,Coffee D,Coffee D
OABMZR,Coffee B,Coffee A,Coffee B
GrBAPo,Coffee A,Coffee D,Coffee D
PABJxQ,Coffee C,Coffee D,Coffee B
jB9AKR,Coffee A,Coffee A,Coffee A
QABl98,Coffee C,Coffee A,Coffee C
xdN55y,Coffee B,Coffee A,Coffee D
lNlk8B,Coffee A,Coffee D,Coffee D
NAB1kW,Coffee A,Coffee A,Coffee A
PABJQ5,Coffee A,Coffee D,Coffee D
dY2eOz,Coffee B,Coffee A,Coffee B
LdML8G,Coffee C,Coffee D,Coffee C
ylq5O0,Coffee A,Coffee A,Coffee A
9dJjAp,Coffee C,Coffee D,Coffee D
NAB1GW,Coffee A,Coffee A,Coffee A
GrBAGo,Coffee B,Coffee A,Coffee B
7d9rG9,Coffee B,Coffee D,Coffee B
24xGWV,Coffee B,Coffee A,Coffee B
5dqPRP,Coffee A,Coffee A,Coffee A
KMBK9M,Coffee A,Coffee A,Coffee A
kYRB26,Coffee C,Coffee D,Coffee C
ZdRrry,Coffee B,Coffee A,Coffee B
g5N6ld,Coffee C,Coffee A,Coffee C
DVv6Qj,Coffee C,Coffee A,Coffee C
aBrqW9,Coffee A,Coffee D,Coffee D
MAdpxX,Coffee A,Coffee A,Coffee A
rlrM9l,Coffee A,Coffee D,Coffee D
7d9r0P,Coffee C,Coffee A,Coffee C
BGbWRN,Coffee B,Coffee D,Coffee D
BGbWNA,Coffee B,Coffee A,Coffee B
xdN5Wo,Coffee A,Coffee A,Coffee A
9dJjb1,Coffee C,Coffee D,Coffee C
bl4Q1g,Coffee A,Coffee A,Coffee A
9dJjeG,Coffee C,Coffee A,Coffee C
J2kvPd,Coffee C,Coffee D,Coffee D
EPb7oX,Coffee C,Coffee A,Coffee C
RzByAl,Coffee A,Coffee D,Coffee D
PABJKd,Coffee B,Coffee A,Coffee B
42NVZb,Coffee B,Coffee D,Coffee B
QABlZg,Coffee C,Coffee A,Coffee C
kYRBBM,Coffee B,Coffee A,Coffee B
qbE1r2,Coffee B,Coffee D,Coffee B
vNx55Q,Coffee B,Coffee D,Coffee B
YZzll5,Coffee B,Coffee A,Coffee B
QABlQp,Coffee A,Coffee A,Coffee A
jB9ARE,Coffee A,Coffee A,Coffee A
EPb7Ro,Coffee A,Coffee D,Coffee D
9dJjz4,,,
qbElL5,,,
RzBy7P,Coffee C,Coffee A,Coffee C
pLPpjE,Coffee C,Coffee A,Coffee C
jB9AO6,Coffee C,Coffee D,Coffee C
BGbWMA,Coffee A,Coffee A,Coffee A
dY2yqN,Coffee A,Coffee D,Coffee C
ylqaNd,,,
zKQ5P8,Coffee C,Coffee D,Coffee D
24xGqb,Coffee C,Coffee A,Coffee C
MAdpog,Coffee B,Coffee D,Coffee B
YZzAPv,Coffee A,Coffee A,Coffee A
NAB1Kb,Coffee A,Coffee A,Coffee A
qbE1xk,Coffee C,Coffee A,Coffee C
PABqjP,Coffee C,Coffee A,Coffee C
rlrMx5,Coffee B,Coffee D,Coffee D
oAVj6M,Coffee A,Coffee D,Coffee A
rlrZ5X,Coffee A,Coffee A,Coffee A
OABN4a,Coffee A,Coffee A,Coffee A
aBrMNW,Coffee A,Coffee A,Coffee A
ZdRrpv,Coffee A,Coffee A,Coffee A
VZ16zj,Coffee B,Coffee A,Coffee B
0EjWQP,Coffee C,Coffee A,Coffee C
24x6Eg,Coffee B,Coffee A,Coffee D
zKQ6jg,Coffee A,Coffee A,Coffee A
24x6XM,Coffee A,Coffee D,Coffee D
5dqAXv,Coffee A,Coffee A,Coffee A
bl4Jq7,Coffee B,Coffee D,Coffee D
OABMpA,Coffee A,Coffee D,Coffee D
qbElGO,Coffee C,Coffee A,Coffee C
WAp79L,Coffee B,Coffee A,Coffee B
PABq11,Coffee B,Coffee A,Coffee B
eBxWdo,Coffee A,Coffee D,Coffee D
QABlgk,Coffee A,Coffee A,Coffee A
NABZrp,Coffee B,Coffee D,Coffee B
8dp4vo,Coffee A,Coffee A,Coffee A
oAVL4M,Coffee B,Coffee A,Coffee B
8dplLl,Coffee A,Coffee D,Coffee D
MAdxD8,Coffee A,Coffee A,Coffee A
VZ16pN,Coffee A,Coffee A,Coffee A
jB9VDY,Coffee B,Coffee D,Coffee D
bl4J97,Coffee A,Coffee A,Coffee A
zKQ6xZ,Coffee C,Coffee A,Coffee C
6dQEb5,Coffee A,Coffee A,Coffee A
0EjWrQ,Coffee A,Coffee D,Coffee D
ZdRBOV,Coffee A,Coffee D,Coffee D
MAdxeE,Coffee C,Coffee A,Coffee C
VZ16p6,Coffee A,Coffee A,Coffee A
lNlEBX,Coffee A,Coffee A,Coffee A
dY2eLN,Coffee B,Coffee A,Coffee B
rlrZOo,Coffee B,Coffee A,Coffee C
Albe1W,Coffee B,Coffee D,Coffee B
1r2o1L,Coffee A,Coffee D,Coffee D
VZ16G6,Coffee B,Coffee A,Coffee B
zKQ6YM,Coffee A,Coffee D,Coffee D
BGbRde,Coffee C,Coffee A,Coffee C
rlrMNL,Coffee A,Coffee D,Coffee D
LdMLA2,Coffee A,Coffee A,Coffee A
42NbKA,Coffee A,Coffee D,Coffee D
lNlEbV,Coffee B,Coffee A,Coffee B
pLP2rP,Coffee C,Coffee D,Coffee C
DVv6rp,Coffee A,Coffee A,Coffee A
lNlko6,Coffee B,Coffee D,Coffee D
eBxW1o,Coffee A,Coffee A,Coffee A
VZ16El,Coffee A,Coffee D,Coffee D
BGbWPY,Coffee A,Coffee D,Coffee D
AlbX7o,Coffee C,Coffee D,Coffee C
oAVLrM,Coffee A,Coffee D,Coffee D
1r2aW4,Coffee B,Coffee D,Coffee D
RzB9Kv,Coffee C,Coffee D,Coffee D
5dqAzE,,,
1r2oqO,Coffee A,Coffee A,Coffee A
42NbKr,Coffee C,Coffee D,Coffee C
24x6PD,Coffee B,Coffee D,Coffee D
OABNlM,Coffee B,Coffee A,Coffee B
8dp47Y,Coffee A,Coffee A,Coffee A
RzB9WQ,Coffee B,Coffee D,Coffee B
jB9VZ1,Coffee A,Coffee A,Coffee A
oAVj2b,Coffee A,Coffee A,Coffee A
jB9VlQ,Coffee A,Coffee D,Coffee D
GrBA2z,Coffee C,Coffee A,Coffee C
9dJKQ5,Coffee C,Coffee D,Coffee C
aBrMdX,Coffee A,Coffee D,Coffee D
EPbOWB,Coffee A,Coffee A,Coffee C
OABNQk,Coffee A,Coffee D,Coffee D
dY2yEV,Coffee B,Coffee A,Coffee B
vNx9Yl,Coffee A,Coffee D,Coffee D
dY2yWD,Coffee B,Coffee A,Coffee B
bl4J50,Coffee B,Coffee D,Coffee D
WAp7OL,Coffee A,Coffee A,Coffee A
zKQ6yk,Coffee A,Coffee A,Coffee A
DVvGKE,Coffee C,Coffee A,Coffee C
MAdxRk,Coffee A,Coffee D,Coffee D
YZzlN6,Coffee B,Coffee D,Coffee B
zKQ6Ng,Coffee B,Coffee D,Coffee B
pLP2ey,Coffee C,Coffee A,Coffee C
KMBjeD,Coffee A,Coffee D,Coffee D
KMBjzD,Coffee B,Coffee A,Coffee B
5dqAKb,Coffee A,Coffee D,Coffee D
vNx9eg,Coffee B,Coffee A,Coffee B
aBrM4Z,Coffee A,Coffee A,Coffee A
EPb74L,Coffee B,Coffee D,Coffee B
kYRPbd,Coffee C,Coffee D,Coffee C
PABq91,Coffee B,Coffee D,Coffee D
RzB9oK,Coffee B,Coffee D,Coffee B
jB9Vb1,Coffee A,Coffee D,Coffee D
qbE12k,Coffee C,Coffee A,Coffee C
J2k4dX,Coffee A,Coffee D,Coffee D
zKQ6DM,Coffee B,Coffee A,Coffee B
7d9kl6,Coffee C,Coffee D,Coffee C
8dplQz,Coffee C,Coffee A,Coffee C
QABQeY,Coffee B,Coffee D,Coffee B
6dQB8o,Coffee A,Coffee A,Coffee A
MAdxEk,Coffee C,Coffee D,Coffee D
6dQB7J,Coffee C,Coffee A,Coffee C
9dJK9E,Coffee A,Coffee A,Coffee A
XeBb0L,Coffee A,Coffee D,Coffee D
AlbX2y,Coffee A,Coffee A,Coffee A
QABQ5G,Coffee A,Coffee A,Coffee A
GrBPdk,Coffee B,Coffee D,Coffee B
kYRPEo,Coffee C,Coffee D,Coffee C
VZ165y,Coffee A,Coffee D,Coffee D
7d9kWR,Coffee A,Coffee A,Coffee A
xdNWMd,Coffee A,Coffee A,Coffee A
24x6jM,Coffee C,Coffee D,Coffee D
DVvGkl,Coffee A,Coffee A,Coffee A
7d9kx0,Coffee A,Coffee A,Coffee A
aBrMYb,Coffee C,Coffee D,Coffee C
XeBboP,Coffee A,Coffee A,Coffee A
oAVj9N,Coffee B,Coffee A,Coffee D
lNlEeo,Coffee A,Coffee D,Coffee D
LdM2zJ,Coffee A,Coffee A,Coffee A
YZzARv,Coffee B,Coffee A,Coffee B
bl4Je6,Coffee B,Coffee D,Coffee B
lNlEOo,Coffee A,Coffee A,Coffee A
rlrZDX,Coffee A,Coffee A,Coffee A
g5NoGD,Coffee A,Coffee D,Coffee D
vNx9Dg,,,
dY2yar,Coffee C,Coffee D,Coffee C
PABqj0,Coffee B,Coffee A,Coffee B
42Nb7r,Coffee B,Coffee A,Coffee B
VZ16zM,Coffee A,Coffee D,Coffee D
8dplzr,Coffee B,Coffee A,Coffee B
g5N6RK,Coffee A,Coffee A,Coffee A
EPbO52,Coffee A,Coffee D,Coffee A
g5NoqP,Coffee C,Coffee A,Coffee C
KMBj1X,Coffee C,Coffee D,Coffee C
jB9VQJ,Coffee A,Coffee A,Coffee A
24xGMA,Coffee C,Coffee A,Coffee C
6dQBLN,Coffee B,Coffee A,Coffee B
xdNWav,Coffee A,Coffee D,Coffee D
ylqaYX,Coffee A,Coffee D,Coffee D
KMBjVX,Coffee A,Coffee A,Coffee A
8dplKP,Coffee A,Coffee A,Coffee A
oAVjb5,Coffee A,Coffee D,Coffee A
rlrZao,Coffee B,Coffee D,Coffee D
EPbOQr,Coffee A,Coffee A,Coffee A
OABN1k,Coffee A,Coffee A,Coffee C
WAp75v,Coffee C,Coffee D,Coffee D
QABQVX,Coffee A,Coffee A,Coffee A
OABMOp,Coffee B,Coffee D,Coffee D
VZ1ORl,Coffee C,Coffee A,Coffee C
oAVj65,Coffee B,Coffee A,Coffee B
YZzlE0,Coffee A,Coffee A,Coffee A
aBrMQW,Coffee C,Coffee D,Coffee D
rlrZA2,Coffee A,Coffee D,Coffee D
ylqa28,Coffee A,Coffee A,Coffee C
OABNQM,Coffee B,Coffee D,Coffee D
6dQBjA,Coffee A,Coffee D,Coffee D
BGbRxR,Coffee C,Coffee A,Coffee C
xdNWDd,Coffee A,Coffee A,Coffee A
pLPplE,Coffee A,Coffee A,Coffee A
eBxXZJ,Coffee A,Coffee A,Coffee A
BGbR7R,Coffee B,Coffee D,Coffee B
EPbOxB,Coffee A,Coffee A,Coffee A
qbElA9,Coffee A,Coffee D,Coffee D
0EjW6B,Coffee B,Coffee D,Coffee B
xdNWx9,Coffee C,Coffee A,Coffee C
PABJad,Coffee C,Coffee D,Coffee D
BGbRpe,Coffee A,Coffee D,Coffee D
WAp7Ee,Coffee A,Coffee A,Coffee A
DVvGdN,Coffee B,Coffee A,Coffee B
EPbOqA,Coffee B,Coffee D,Coffee D
42NbXo,Coffee C,Coffee D,Coffee D
qbElDO,Coffee C,Coffee D,Coffee D
kYRBDj,Coffee B,Coffee A,Coffee B
lNlkJp,Coffee A,Coffee D,Coffee D
24x68b,Coffee A,Coffee D,Coffee C
VZ16j6,Coffee B,Coffee D,Coffee B
1r2aA4,Coffee C,Coffee A,Coffee B
xdNWa5,Coffee A,Coffee D,Coffee D
8dplNk,Coffee C,Coffee D,Coffee C
BGbRXK,Coffee A,Coffee D,Coffee D
J2k4AK,Coffee A,Coffee D,Coffee A
NABZWj,Coffee A,Coffee A,Coffee A
1r2a91,Coffee C,Coffee D,Coffee B
42NbB5,Coffee A,Coffee A,Coffee A
aBrM5Z,Coffee A,Coffee A,Coffee A
0EjRN0,Coffee B,Coffee D,Coffee B
oAVjDN,Coffee B,Coffee D,Coffee B
pLP2dP,Coffee C,Coffee D,Coffee C
VZ16Qj,Coffee B,Coffee D,Coffee B
PABJa0,Coffee A,Coffee A,Coffee A
g5N6yK,Coffee B,Coffee A,Coffee B
NABZl0,Coffee B,Coffee A,Coffee B
AlbXve,Coffee A,Coffee A,Coffee A
GrBP6O,Coffee A,Coffee D,Coffee D
NABZoO,Coffee A,Coffee D,Coffee D
KMBj5g,Coffee B,Coffee D,Coffee D
lNlErN,Coffee A,Coffee A,Coffee A
42NbxA,Coffee C,Coffee A,Coffee B
OABN7a,Coffee B,Coffee D,Coffee B
DVvGBE,Coffee B,Coffee A,Coffee B
LdMLRO,Coffee B,Coffee D,Coffee B
6dQBeN,Coffee A,Coffee A,Coffee A
5dqPWP,Coffee B,Coffee A,Coffee C
ZdRBEV,Coffee A,Coffee D,Coffee D
8dploo,Coffee B,Coffee A,Coffee B
0EjW7A,Coffee B,Coffee D,Coffee D
0EjWOB,Coffee B,Coffee A,Coffee B
xdNWJd,Coffee A,Coffee A,Coffee A
dY2yNV,Coffee C,Coffee A,Coffee C
0EjR2Q,Coffee B,Coffee A,Coffee B
qbEla5,Coffee C,Coffee A,Coffee C
YZzAaW,Coffee C,Coffee A,Coffee C
AlbXlz,,,
OABNAg,,,
NABZVl,,,
0EjWj6,,,
24x649,Coffee B,Coffee A,Coffee B
dY2yYK,Coffee A,Coffee A,Coffee A
0EjWLN,Coffee C,Coffee D,Coffee D
DVvGNZ,Coffee C,Coffee A,Coffee C
MAdx5M,Coffee B,Coffee A,Coffee B
zKQ6eR,Coffee A,Coffee D,Coffee D
NABZ0l,Coffee B,Coffee A,Coffee B
vNx920,Coffee B,Coffee A,Coffee B
RzB9zj,Coffee A,Coffee A,Coffee A
EPbOJX,,,
oAVjvM,,,
9dJK1Q,Coffee A,Coffee A,Coffee A
EPbOPr,Coffee A,,Coffee A
J2k42R,Coffee B,Coffee A,Coffee B
ylqaq4,Coffee A,Coffee D,Coffee A
8dplpx,Coffee A,Coffee D,Coffee D
rlrZLl,Coffee C,Coffee D,Coffee C
eBxX20,Coffee A,Coffee D,Coffee D
DVvGDq,Coffee A,Coffee D,Coffee D
42NboO,Coffee C,Coffee D,Coffee C
dY2yPo,Coffee C,Coffee D,Coffee D
GrBPJo,Coffee A,Coffee D,Coffee D
zKQ6W1,Coffee B,Coffee D,Coffee B
EPbOJN,Coffee A,Coffee D,Coffee D
eBxXL0,Coffee B,Coffee A,Coffee B
EPbO04,Coffee A,Coffee D,Coffee D
PABql5,Coffee C,Coffee D,Coffee C
1r2aEp,Coffee A,Coffee D,Coffee D
1r2avQ,Coffee C,Coffee D,Coffee C
aBrMrq,Coffee B,Coffee A,Coffee B
5dqAEM,Coffee B,Coffee A,Coffee B
rlrZdl,Coffee B,Coffee D,Coffee D
aBrMGB,Coffee A,Coffee A,Coffee A
kYRP51,Coffee C,Coffee D,Coffee D
PABqX5,Coffee B,Coffee D,Coffee D
ylqaop,Coffee C,Coffee D,Coffee C
5dqAeP,Coffee A,Coffee D,Coffee B
aBrMK9,Coffee B,Coffee A,Coffee B
aBrMEv,Coffee C,Coffee D,Coffee C
MAdxOM,Coffee A,Coffee A,Coffee A
PABqbd,Coffee C,Coffee D,Coffee C
ZdRBP0,Coffee B,Coffee D,Coffee B
g5NoJ1,Coffee A,Coffee D,Coffee D
VZ16bE,Coffee A,Coffee D,Coffee D
VZ168g,Coffee A,Coffee A,Coffee A
xdNWPy,Coffee B,Coffee D,Coffee D
oAVjyx,Coffee B,Coffee A,Coffee B
ZdRBYz,Coffee B,Coffee A,Coffee A
6dQBOB,Coffee B,Coffee A,Coffee B
QABQr7,Coffee B,Coffee D,Coffee D
aBrM0v,Coffee A,Coffee A,Coffee A
bl4J62,Coffee C,Coffee D,Coffee D
ZdRBRy,Coffee A,Coffee A,Coffee D
DVvGJq,Coffee C,Coffee A,Coffee C
42Nb1b,Coffee A,Coffee A,Coffee A
qbElY2,Coffee B,Coffee A,Coffee B
ZdRBZa,Coffee A,Coffee A,Coffee A
OABNzg,Coffee A,Coffee A,Coffee A
xdNW0o,Coffee A,Coffee A,Coffee A
xdNWPo,Coffee B,Coffee A,Coffee B
kYRPZR,Coffee C,Coffee A,Coffee C
J2k4D4,Coffee A,Coffee A,Coffee A
9dJKo1,Coffee C,Coffee A,Coffee C
kYRPpd,Coffee C,Coffee D,Coffee D
BGbRD5,Coffee B,Coffee A,Coffee B
rlrZlR,Coffee B,Coffee D,Coffee D
AlbXqk,Coffee B,Coffee A,Coffee B
rlrZKN,Coffee A,Coffee A,Coffee A
MAdxAA,Coffee C,Coffee D,Coffee C
AlbXWB,Coffee B,Coffee D,Coffee B
MAdxYp,Coffee C,Coffee A,Coffee C
oAVjKX,Coffee A,Coffee A,Coffee A
rlrZ2M,Coffee C,Coffee A,Coffee C
YZzAx6,Coffee A,Coffee A,Coffee A
bl4JY2,Coffee B,Coffee D,Coffee D
OABNdp,Coffee A,Coffee D,Coffee D
oAVjBP,Coffee C,Coffee D,Coffee D
WAp70N,Coffee A,Coffee A,Coffee A
LdM20v,Coffee A,Coffee A,Coffee A
lNlE46,Coffee B,Coffee D,Coffee B
DVvGbX,Coffee A,Coffee A,Coffee A
lNlE0W,Coffee C,Coffee D,Coffee C
KMBj08,Coffee A,Coffee D,Coffee D
jB9VJ6,Coffee B,Coffee A,Coffee B
YZzAVq,Coffee A,Coffee A,Coffee A
jB9Vz9,Coffee B,Coffee A,Coffee B
0EjWPy,Coffee C,Coffee D,Coffee C
42NbpB,Coffee C,Coffee A,Coffee D
42NbGd,Coffee B,Coffee D,Coffee D
1r2aNO,Coffee B,Coffee D,Coffee B
PABq2b,Coffee B,Coffee D,Coffee D
NABZBQ,Coffee C,Coffee A,Coffee A
NABZLB,Coffee B,Coffee D,Coffee B
lNlENv,Coffee C,Coffee D,Coffee C
WAp7Pj,Coffee A,Coffee A,Coffee A
rlrZqL,Coffee B,Coffee D,Coffee D
kYRPxZ,Coffee C,Coffee A,Coffee C
24x6JL,Coffee C,Coffee A,Coffee C
AlbX9N,Coffee B,Coffee D,Coffee B
VZ16Zy,Coffee A,Coffee A,Coffee A
9dJK44,Coffee C,Coffee D,Coffee C
YZzAzd,Coffee A,Coffee A,Coffee D
RzB9gQ,Coffee A,Coffee A,Coffee A
XeBbB4,Coffee A,Coffee D,Coffee D
24x67A,Coffee C,Coffee A,Coffee C
zKQ6G8,Coffee C,Coffee D,Coffee A
qbElE7,Coffee C,Coffee A,
PABqGd,Coffee A,Coffee A,Coffee A
qbElN8,Coffee A,Coffee A,Coffee A
9dJKWV,Coffee A,Coffee A,Coffee A
rlrZgp,Coffee A,Coffee D,Coffee B
ylqa04,Coffee C,Coffee A,Coffee C
0EjWZ0,Coffee C,Coffee A,Coffee C
lNlEyv,Coffee A,Coffee A,Coffee D
g5Nok1,Coffee C,Coffee A,Coffee C
1r2a6L,Coffee A,Coffee D,Coffee D
g5NoNd,Coffee C,Coffee D,Coffee D
LdM2qy,Coffee B,Coffee D,Coffee D
DVvGYX,Coffee A,Coffee D,Coffee D
zKQ6OZ,Coffee C,Coffee A,Coffee C
bl4JE6,Coffee B,Coffee D,Coffee D
xdNWLd,Coffee C,Coffee A,Coffee C
zKQ6gZ,Coffee B,Coffee D,Coffee B
QABQkk,Coffee B,Coffee A,Coffee B
OABNL7,Coffee B,Coffee D,Coffee D
24x6ge,Coffee A,Coffee D,Coffee D
NABZyp,Coffee A,Coffee A,Coffee A
jB9Vk6,Coffee C,Coffee D,Coffee D
VZ16y6,Coffee B,Coffee D,Coffee D
pLP24V,Coffee B,Coffee D,Coffee D
6dQBM5,Coffee A,Coffee D,Coffee D
24x6lA,Coffee B,Coffee A,Coffee B
rlrZQo,Coffee C,Coffee D,Coffee D
42NbNO,Coffee B,Coffee A,Coffee B
jB9VY1,Coffee B,Coffee D,Coffee B
RzB9kP,Coffee A,Coffee A,Coffee A
24x67b,Coffee B,Coffee D,Coffee D
YZzAZJ,Coffee A,Coffee D,Coffee D
zKQ6Za,Coffee C,Coffee A,Coffee C
g5NogM,Coffee A,Coffee A,Coffee A
VZ16MJ,Coffee A,Coffee A,Coffee A
pLP2Pb,Coffee A,Coffee A,Coffee A
LdM2NJ,Coffee C,Coffee A,Coffee C
bl4JOL,Coffee A,Coffee D,Coffee D
bl4Jy7,Coffee A,Coffee D,Coffee D
NABZv0,Coffee B,Coffee A,Coffee B
42NbLk,Coffee A,Coffee D,Coffee D
9dJKvp,Coffee C,Coffee A,Coffee C
6dQB4o,Coffee A,Coffee A,Coffee D
kYRPO6,Coffee C,Coffee A,Coffee C
ZdRBy5,Coffee B,Coffee D,Coffee B
oAVj01,Coffee A,Coffee D,Coffee D
AlbX8D,Coffee A,Coffee A,Coffee C
VZ16Mv,Coffee B,Coffee A,Coffee B
