submission_id,age,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation,work_from_home
ylqL9x,>65 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,1,,I do a mix of both
BGbNGQ,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
g5N2AO,>65 years old,Female,,Master's degree,White/Caucasian,,Employed part-time,1,Democrat,I primarily work from home
eBx4zJ,25-34 years old,Female,,Master's degree,Native American/Alaska Native,,Employed full-time,,Democrat,I primarily work in person
eBx4lx,55-64 years old,,,,,,,,,
VZ1gxN,35-44 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,3,Republican,I do a mix of both
EPb9Y2,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,1,Democrat,I primarily work from home
XeBX9e,>65 years old,Female,,Master's degree,White/Caucasian,,Employed part-time,2,Democrat,I primarily work in person
oAVWQN,35-44 years old,Male,,Master's degree,Hispanic/Latino,,Employed full-time,3,Independent,I primarily work in person
6dQoVo,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
vNxkK8,>65 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed part-time,,Democrat,I primarily work from home
NABzGb,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Student,,Democrat,
EPb9El,25-34 years old,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,2,Democrat,I do a mix of both
pLPgv1,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
24x2lM,25-34 years old,Female,,Master's degree,White/Caucasian,,Homemaker,,Democrat,
OABRKR,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,2,No affiliation,I primarily work from home
24xpWb,18-24 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
lNlxeW,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,No affiliation,I primarily work from home
OAB6ER,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed part-time,,No affiliation,I primarily work from home
DVvQbX,>65 years old,Male,,Master's degree,White/Caucasian,,Retired,,No affiliation,I primarily work from home
jB9jR9,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
KMBbAX,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Unemployed,,Democrat,I primarily work from home
rlr7bo,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
RzBppJ,18-24 years old,,,,,,,,,
J2k7jK,>65 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work in person
ZdR0bB,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,No affiliation,I primarily work from home
bl4P1Z,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
bl4Pag,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work in person
1r28gg,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation,I do a mix of both
BGbNr5,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
42NeXb,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
GrBWAZ,55-64 years old,Female,,Master's degree,White/Caucasian,,Employed part-time,3,No affiliation,I primarily work in person
xdNKWr,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
9dJVkQ,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work in person
OABvZY,55-64 years old,Male,,Bachelor's degree,White/Caucasian,,Unemployed,,No affiliation,I do a mix of both
42NeJo,18-24 years old,Male,,Master's degree,Other (please specify),Jewish,Employed full-time,,Independent,I do a mix of both
ylqV46,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
pLP8oy,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
5dqW9v,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
NABG0O,35-44 years old,,,,,,,,,
ylqVl8,18-24 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
0EjNE9,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
kYRMEZ,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent,I do a mix of both
8dp7Zk,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
WApxEL,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
EPbyLB,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work in person
GrB8Qo,45-54 years old,,,,,,,,,
xdNOZv,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
24x02L,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Student,1,Democrat,I primarily work in person
WApxeN,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
J2k5Vo,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
VZ129g,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
NABGBl,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
VZ12oJ,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Independent,I primarily work from home
J2k5Md,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
EPbyvX,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
VZ12yl,>65 years old,,,,,,,,,
oAVXgX,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I do a mix of both
qbE0ek,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
g5NKXM,35-44 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work from home
EPbyOl,35-44 years old,,,,,,,,,
24xQRp,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Republican,I primarily work from home
dY2BOd,25-34 years old,,,,,,,,,
PABVoe,25-34 years old,,,,,,,,,
xdNO19,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work in person
zKQPLq,25-34 years old,Male,,Doctorate or professional degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
vNxoVX,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work from home
24xQGe,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
eBxkrJ,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
rlrzbp,45-54 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation,I do a mix of both
xdNOWd,25-34 years old,Male,,Master's degree,White/Caucasian,,Student,,Democrat,I do a mix of both
qbE09g,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
VZ12rM,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Student,,Democrat,I primarily work in person
pLPlyV,25-34 years old,,,,,,,,,
GrB8jz,25-34 years old,Female,,Master's degree,White/Caucasian,,Homemaker,2,No affiliation,I primarily work from home
pLPlbq,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
24xM8L,35-44 years old,Female,,Master's degree,White/Caucasian,,Homemaker,More than 3,Independent,I primarily work from home
QABP67,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
6dQaoJ,25-34 years old,Prefer not to say,,Doctorate or professional degree,Other (please specify),Prefer not to say,Employed full-time,1,No affiliation,I primarily work in person
PABVZx,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
RzB7Pp,35-44 years old,,,,,,,,,
QAB6Mg,25-34 years old,,,,,,,,,
OABWXK,45-54 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
ylqWYp,35-44 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
VZ1kGv,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,,
bl40qo,18-24 years old,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
NABelG,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
5dqy9M,35-44 years old,Non-binary,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
kYRVEJ,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
Alb1GN,55-64 years old,Female,,High school graduate,Asian/Pacific Islander,,,2,,I primarily work from home
rlrxo5,25-34 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
OABW5A,35-44 years old,Female,,Some college or associate's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I do a mix of both
zKQPpR,35-44 years old,Female,,Bachelor's degree,Other (please specify),Mixed - Asian and Black,Employed full-time,,Democrat,I primarily work from home
WApvYR,25-34 years old,Male,,Some college or associate's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I do a mix of both
xdNOlo,35-44 years old,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,,No affiliation,I primarily work from home
NABe7W,35-44 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
aBr8zB,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
MAd98k,25-34 years old,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,1,Democrat,I primarily work in person
xdNel5,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
xdNe6r,18-24 years old,Female,,Some college or associate's degree,White/Caucasian,,Student,,Democrat,I do a mix of both
42NgdO,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Student,,Democrat,I do a mix of both
5dqyVo,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
QAB6JY,35-44 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,2,Democrat,I primarily work from home
DVvl9b,35-44 years old,,,,,,,,,
DVvlbq,18-24 years old,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
qbE2M2,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,,Democrat,I primarily work from home
5dqyoM,25-34 years old,Female,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,,No affiliation,I primarily work from home
24xMzp,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
42NgEk,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work from home
XeBKAd,25-34 years old,,,,,,,,,
RzB7Qp,18-24 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work in person
GrB2GQ,55-64 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,2,Independent,I primarily work in person
MAd9WE,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
oAV4YX,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Unemployed,,Democrat,I primarily work from home
g5NRxN,25-34 years old,Non-binary,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
42NgM5,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Unemployed,1,No affiliation,I primarily work from home
lNlPqW,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
aBr8JE,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
42Ne8r,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,1,Republican,I primarily work in person
LdMQxO,35-44 years old,,,,,,,,,I primarily work from home
XeBK0d,55-64 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
8dp00l,45-54 years old,,,,,,,,,
ZdRpqV,55-64 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,3,Independent,I primarily work in person
24xM5V,25-34 years old,Male,,Some college or associate's degree,Other (please specify),"Asian, White",Student,,Democrat,I primarily work from home
24xqAj,35-44 years old,,,,,,,,,
OABWqp,25-34 years old,,,,,,,,,I primarily work in person
9dJzzE,35-44 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
7d9809,18-24 years old,,,,,,,,,
dY258K,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
YZzEjJ,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work from home
PABMpV,18-24 years old,Male,,Master's degree,Asian/Pacific Islander,,Student,,Independent,I do a mix of both
xdNkX5,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
LdMA7v,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation,I primarily work in person
1r2Zb4,25-34 years old,,,,,,,,,
XeBKZP,35-44 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent,I do a mix of both
jB9dPx,>65 years old,Male,,Master's degree,White/Caucasian,,Retired,More than 3,Democrat,
42NWaY,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,More than 3,Independent,I primarily work in person
KMBq7X,18-24 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work in person
oAVry1,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
QABgJk,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Republican,I primarily work in person
DVvl6p,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Unemployed,,No affiliation,I primarily work from home
8dpveY,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
DVvrvp,25-34 years old,Female,,Bachelor's degree,Hispanic/Latino,,Employed part-time,,No affiliation,I primarily work from home
ylqKZX,25-34 years old,Male,,Master's degree,Hispanic/Latino,,Student,,Republican,I primarily work in person
EPbjYr,,,,,,,,,,
VZ1RYl,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
rlrNpR,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Independent,I primarily work in person
vNx710,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Student,,Democrat,I primarily work in person
DVvrMl,25-34 years old,Male,,Master's degree,Other (please specify),Indian,Student,,Democrat,I primarily work in person
bl4B20,35-44 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
WApGZk,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Student,,Independent,I primarily work in person
7d9BgZ,35-44 years old,Male,,Master's degree,Other (please specify),AR-15,Employed full-time,,Republican,I primarily work in person
PABaYx,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
GrBNyk,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
vNx7pD,18-24 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I primarily work from home
24xqzL,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
XeBVpd,25-34 years old,,,,,,,,,
J2kayY,25-34 years old,,,,,,,,,
jB9O5J,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
aBrbpq,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
XeBVZV,35-44 years old,,,,,,,,,
rlrx85,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
eBxdOE,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
BGbO2e,18-24 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
NABKaW,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
g5NyOD,45-54 years old,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
ylqKLW,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat,I do a mix of both
ylqK54,18-24 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
ZdR4pA,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
jB9dOY,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
1r2ZLO,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
qbYZaO,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
AlboEW,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Republican,I do a mix of both
BGL4dR,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,2,Democrat,I primarily work in person
jB0DlJ,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,1,Democrat,I do a mix of both
eBNZDx,35-44 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
J2VKAR,18-24 years old,Male,,Master's degree,Asian/Pacific Islander,,Student,,No affiliation,I primarily work from home
jB0DQ4,35-44 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
0Ebr79,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Republican,I do a mix of both
qbYZR9,35-44 years old,Male,,Bachelor's degree,Black/African American,,Employed full-time,,Democrat,I primarily work from home
yl0ZDB,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
xd0xPo,25-34 years old,Male,,,White/Caucasian,,,,,I primarily work from home
XeRlWY,25-34 years old,Female,,Master's degree,Asian/Pacific Islander,,Employed full-time,,Independent,I primarily work from home
eBNZA0,25-34 years old,Non-binary,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
6d1J4N,25-34 years old,,,,,,,,,
J2VKgX,18-24 years old,,,,,,,,,
aBjN4X,>65 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,3,No affiliation,I primarily work in person
VZ9EVv,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,1,No affiliation,I primarily work in person
yl0Zep,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Unemployed,,No affiliation,I primarily work in person
7dJlza,35-44 years old,,,,,,,,,
XeRlQe,18-24 years old,,,,,,,,,
WAe90j,35-44 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
dYZqdK,45-54 years old,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work in person
Al6PLz,25-34 years old,,,,,,,,,I primarily work from home
eBNZzJ,25-34 years old,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work in person
J2VKGX,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
PABaAP,25-34 years old,Female,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work from home
YZoDgv,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Unemployed,More than 3,No affiliation,I primarily work from home
24b8Y9,25-34 years old,,,,,,,,,
ZdG5yV,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
RzZK14,18-24 years old,,,,,,,,,
LdE14p,18-24 years old,,,,,,,,,
QAx2qG,25-34 years old,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
bl2Vy6,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work from home
Grovo2,18-24 years old,Female,,Master's degree,Asian/Pacific Islander,,Student,,No affiliation,I primarily work in person
0Ebry9,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Unemployed,,Democrat,I primarily work from home
PA2jNB,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
VZ9Eyj,>65 years old,Female,,Bachelor's degree,White/Caucasian,,Retired,,Democrat,
lN0DEk,18-24 years old,,,,,,,,,
WAe9GJ,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
eBNZdq,45-54 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work in person
pL0xab,35-44 years old,,,,,,,,,
BGL4r5,35-44 years old,Female,,Bachelor's degree,White/Caucasian,,Student,,Democrat,I primarily work in person
KMPQ9A,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
1rbP1M,18-24 years old,Male,,Some college or associate's degree,Hispanic/Latino,,Student,,Democrat,
6d18jo,25-34 years old,,,,,,,,,
EPBkqq,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,2,,I primarily work from home
MArKXl,25-34 years old,Male,,Bachelor's degree,Other (please specify),Multiracial,Employed full-time,,Independent,I do a mix of both
24bEBg,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
yl0PXW,45-54 years old,Female,,Bachelor's degree,Other (please specify),Bi-racial,Employed full-time,,Democrat,I primarily work from home
zK0xYg,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
RzZG44,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Unemployed,,Democrat,I do a mix of both
42142r,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Student,,Independent,I primarily work in person
BGLzXe,55-64 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed part-time,,Republican,I do a mix of both
MAreLA,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
OAjDGM,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work from home
rl0jGl,55-64 years old,,,,,,,,,
jB0aW4,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
xd0Xy5,55-64 years old,,,,,,,,,
dYZWjK,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
pLPjdJ,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
EPBkPl,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work in person
0EbQbN,45-54 years old,Female,,Bachelor's degree,White/Caucasian,,Homemaker,More than 3,Independent,I primarily work in person
yl0PeB,25-34 years old,Female,,Master's degree,White/Caucasian,,Student,,Democrat,I primarily work from home
Grox5j,25-34 years old,,,,,,,,,
8dJ1rA,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Student,,Democrat,I primarily work in person
4214qo,25-34 years old,,,,,,,,,I primarily work in person
aBjQgW,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
aBjQyy,18-24 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Student,,Democrat,I primarily work in person
jB0ap9,35-44 years old,Male,,Bachelor's degree,,,Employed full-time,,No affiliation,I primarily work in person
7dJRez,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
BGLz71,25-34 years old,Male,,Master's degree,,,,,No affiliation,I do a mix of both
NA4p5W,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation,I do a mix of both
6d18eo,>65 years old,Male,,,,,Retired,3,,
lNlQkv,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
8dJoAY,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,3,No affiliation,I do a mix of both
6d18yo,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
OAjD6g,18-24 years old,,,,,,,,,
dYZWer,45-54 years old,Female,,Master's degree,Native American/Alaska Native,,Employed full-time,,Independent,I primarily work from home
YZo58J,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
8dJ175,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
XeRxKg,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Republican,I primarily work in person
oA09eX,,,,,,,,,,
rl0jRp,25-34 years old,Male,,,White/Caucasian,,Employed full-time,,,I primarily work in person
MAr1DY,>65 years old,Female,,High school graduate,White/Caucasian,,Retired,3,,I primarily work from home
rl0DO5,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work from home
bl2Z70,>65 years old,Male,,High school graduate,Native American/Alaska Native,,Retired,3,,I primarily work from home
QAxoJY,18-24 years old,,,,,,,,,
421a7B,25-34 years old,Female,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work from home
vN0XBX,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent,I primarily work from home
yl0XYW,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
NA4q0p,18-24 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
7dJXK9,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
WAeJek,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Independent,I do a mix of both
Al6rdo,35-44 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,2,No affiliation,I primarily work in person
rl0DvN,35-44 years old,,,,,,,,,
yl0Xdg,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation,I do a mix of both
KMPpk8,18-24 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,,Democrat,I do a mix of both
rl0DJN,25-34 years old,Male,,Master's degree,Hispanic/Latino,,Employed full-time,,Democrat,I primarily work in person
6d1DWJ,25-34 years old,Male,,Some college or associate's degree,Asian/Pacific Islander,,Employed part-time,,Democrat,I do a mix of both
zK0EJk,18-24 years old,Female,,High school graduate,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
