submission_id,monthly_coffee_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,monthly_spend_band_order,estimated_monthly_spend
qbEl89,$60-$80,$6-$8,$8-$10,Yes,$100-$300,Yes,4,70.0
9dJkdE,<$20,$6-$8,,,,,1,10.0
VZ162v,$20-$40,$6-$8,$8-$10,Yes,$500-$1000,Yes,2,30.0
bl4pVe,<$20,$8-$10,$10-$15,No,$100-$300,Yes,1,10.0
lNlG7v,$20-$40,$8-$10,$15-$20,No,$100-$300,Yes,2,30.0
aBrM8q,$80-$100,$10-$15,$15-$20,No,$300-$500,Yes,5,90.0
RzBNoP,$40-$60,$2-$4,$4-$6,Yes,"More than $1,000",Yes,3,50.0
EPbRQ2,$60-$80,$10-$15,$10-$15,Yes,$500-$1000,Yes,4,70.0
ZdR7dV,,$6-$8,$8-$10,Yes,$500-$1000,Yes,,
8dpBdl,,,,,,,,
xdNqrJ,$80-$100,$8-$10,$8-$10,Yes,$300-$500,Yes,5,90.0
GrBGlQ,$40-$60,$8-$10,More than $20,Yes,"More than $1,000",Yes,3,50.0
ZdRB40,>$100,$6-$8,$8-$10,No,$500-$1000,Yes,6,110.0
7d9AW2,$40-$60,$15-$20,$15-$20,Yes,$50-$100,Yes,3,50.0
PABqMQ,$40-$60,$6-$8,More than $20,No,"More than $1,000",Yes,3,50.0
jB9RGa,,,,,,,,
0Ej9V0,$80-$100,$8-$10,$8-$10,Yes,$300-$500,Yes,5,90.0
g5Nl5P,$60-$80,More than $20,More than $20,Yes,"More than $1,000",Yes,4,70.0
Albgdl,$20-$40,$8-$10,$8-$10,No,"More than $1,000",Yes,2,30.0
42N6Ak,,,,,,,,
zKQ9ME,$80-$100,$8-$10,$8-$10,Yes,$300-$500,Yes,5,90.0
DVv85N,$60-$80,$6-$8,$6-$8,No,$500-$1000,Yes,4,70.0
VZ1e8M,$20-$40,$6-$8,$6-$8,No,$100-$300,Yes,2,30.0
aBrLEb,$40-$60,$15-$20,More than $20,No,$500-$1000,Yes,3,50.0
24x6Wj,$20-$40,$8-$10,$6-$8,Yes,$50-$100,Yes,2,30.0
pLPEL1,$20-$40,$4-$6,$6-$8,Yes,$100-$300,Yes,2,30.0
qbErYG,$60-$80,$8-$10,$8-$10,Yes,$500-$1000,Yes,4,70.0
6dQlWP,$60-$80,$10-$15,More than $20,Yes,"More than $1,000",Yes,4,70.0
OAB2Aa,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
OAB2b7,$60-$80,$8-$10,$10-$15,Yes,$500-$1000,Yes,4,70.0
vNxZMd,$40-$60,More than $20,$4-$6,No,$50-$100,Yes,3,50.0
eBxXVe,$80-$100,$15-$20,More than $20,Yes,$500-$1000,Yes,5,90.0
DVvG6Z,$60-$80,$8-$10,$10-$15,No,Less than $20,No,4,70.0
QABQqX,<$20,$4-$6,$2-$4,No,Less than $20,Yes,1,10.0
ZdR7Dy,,,,,,,,
GrBGXp,$20-$40,$10-$15,$10-$15,No,$50-$100,Yes,2,30.0
rlr4PX,$20-$40,$6-$8,$8-$10,No,$50-$100,Yes,2,30.0
LdMr0l,$40-$60,$8-$10,$8-$10,Yes,$50-$100,Yes,3,50.0
eBxJ00,<$20,$6-$8,$8-$10,Yes,Less than $20,Yes,1,10.0
zKQ90R,$40-$60,$8-$10,$8-$10,Yes,"More than $1,000",Yes,3,50.0
J2kPVo,$20-$40,$10-$15,$10-$15,No,$100-$300,Yes,2,30.0
42N6jr,$20-$40,$6-$8,$6-$8,Yes,Less than $20,Yes,2,30.0
qbErd5,$20-$40,$6-$8,$6-$8,,Less than $20,Yes,2,30.0
8dpBAO,$20-$40,$4-$6,$4-$6,Yes,$300-$500,Yes,2,30.0
DVv81l,$20-$40,$4-$6,$8-$10,Yes,$300-$500,Yes,2,30.0
PABxBV,$40-$60,$4-$6,$6-$8,Yes,$100-$300,Yes,3,50.0
5dq7jb,$20-$40,$4-$6,$4-$6,Yes,$20-$50,Yes,2,30.0
1r2ePM,$40-$60,More than $20,More than $20,No,"More than $1,000",Yes,3,50.0
1r2e7b,$20-$40,$15-$20,$15-$20,Yes,$300-$500,Yes,2,30.0
ZdR71z,$20-$40,$6-$8,$8-$10,Yes,$300-$500,Yes,2,30.0
LdMrWJ,$20-$40,$10-$15,More than $20,Yes,$100-$300,Yes,2,30.0
6dQlOJ,$20-$40,$4-$6,$6-$8,Yes,$20-$50,Yes,2,30.0
KMBEyk,$60-$80,$4-$6,$6-$8,Yes,$50-$100,Yes,4,70.0
bl4pNL,$20-$40,$8-$10,$8-$10,No,$500-$1000,Yes,2,30.0
xdNq0r,,,,,,,,
eBxJYO,,,,,,,,
VZ162J,<$20,$8-$10,$2-$4,No,$300-$500,Yes,1,10.0
rlr4p5,$60-$80,$10-$15,$15-$20,No,"More than $1,000",Yes,4,70.0
6dQl1k,$60-$80,$10-$15,More than $20,Yes,$300-$500,Yes,4,70.0
aBrLk9,,,,,,,,
jB9R0a,$20-$40,$10-$15,$15-$20,,"More than $1,000",No,2,30.0
5dq786,$40-$60,More than $20,More than $20,Yes,$20-$50,Yes,3,50.0
zKQ92a,,,,,,,,
42N6zO,$60-$80,$6-$8,$6-$8,No,"More than $1,000",Yes,4,70.0
1r2erg,$40-$60,$4-$6,$8-$10,No,"More than $1,000",Yes,3,50.0
LdMrq2,$40-$60,$6-$8,More than $20,No,"More than $1,000",Yes,3,50.0
MAd4VX,$20-$40,$6-$8,$15-$20,Yes,"More than $1,000",Yes,2,30.0
42N69k,$20-$40,$4-$6,More than $20,No,$500-$1000,Yes,2,30.0
PABxYe,$60-$80,$10-$15,$15-$20,Yes,"More than $1,000",Yes,4,70.0
GrBGy2,$60-$80,$8-$10,$8-$10,No,$500-$1000,Yes,4,70.0
EPbRb4,$40-$60,$6-$8,$8-$10,No,$50-$100,Yes,3,50.0
ZdR7ya,$40-$60,$8-$10,$8-$10,No,"More than $1,000",Yes,3,50.0
bl4Jbo,$20-$40,$8-$10,$8-$10,Yes,$300-$500,Yes,2,30.0
lNlG96,$20-$40,$4-$6,$6-$8,Yes,$100-$300,Yes,2,30.0
ZdR7ga,$40-$60,$8-$10,$4-$6,No,$500-$1000,Yes,3,50.0
xdNWOy,$40-$60,$8-$10,$15-$20,No,$300-$500,Yes,3,50.0
42N6Ro,$40-$60,$8-$10,$15-$20,No,$500-$1000,Yes,3,50.0
zKQ9BZ,$20-$40,$8-$10,$15-$20,Yes,$300-$500,Yes,2,30.0
5dq7GE,$40-$60,$10-$15,$15-$20,No,$300-$500,Yes,3,50.0
g5NlDN,$40-$60,$4-$6,$4-$6,No,$100-$300,Yes,3,50.0
42N6Do,$20-$40,$15-$20,More than $20,No,$100-$300,Yes,2,30.0
WApWXL,$20-$40,$6-$8,$8-$10,No,$50-$100,Yes,2,30.0
AlbgaB,$40-$60,$6-$8,$8-$10,No,,,3,50.0
xdNqlo,$20-$40,$8-$10,$6-$8,Yes,$500-$1000,Yes,2,30.0
KMBE2z,$60-$80,$10-$15,$10-$15,Yes,"More than $1,000",Yes,4,70.0
5dq7xv,$40-$60,$4-$6,$8-$10,Yes,$20-$50,Yes,3,50.0
QABZZY,$40-$60,$6-$8,$8-$10,No,$100-$300,Yes,3,50.0
MAdx0p,$40-$60,$8-$10,$10-$15,No,$500-$1000,Yes,3,50.0
WApWgP,$40-$60,$8-$10,$8-$10,No,$100-$300,Yes,3,50.0
eBxJ8J,$40-$60,$8-$10,,No,$500-$1000,Yes,3,50.0
42N6Ob,$20-$40,$6-$8,$6-$8,Yes,$100-$300,Yes,2,30.0
WApWkQ,<$20,$4-$6,$4-$6,No,Less than $20,Yes,1,10.0
KMBEEg,$20-$40,$4-$6,$8-$10,Yes,$100-$300,Yes,2,30.0
6dQldA,<$20,$8-$10,$6-$8,No,$100-$300,Yes,1,10.0
rlr40N,$40-$60,$8-$10,$15-$20,No,$500-$1000,Yes,3,50.0
DVv8QN,,,,,,,,
WApW6L,$40-$60,$6-$8,$2-$4,No,Less than $20,No,3,50.0
g5NlBD,$60-$80,$6-$8,$6-$8,No,"More than $1,000",Yes,4,70.0
QABZOp,$40-$60,$8-$10,$10-$15,No,$100-$300,Yes,3,50.0
KMBEgk,$20-$40,$8-$10,$8-$10,Yes,$50-$100,Yes,2,30.0
VZ1eAl,<$20,$4-$6,$6-$8,Yes,$20-$50,Yes,1,10.0
YZz62W,$20-$40,$8-$10,$8-$10,Yes,Less than $20,Yes,2,30.0
OAB2Yg,,,$2-$4,,$20-$50,Yes,,
8dpBBl,$60-$80,$8-$10,$8-$10,Yes,"More than $1,000",Yes,4,70.0
VZ1e6j,$20-$40,$6-$8,More than $20,Yes,$500-$1000,Yes,2,30.0
WApWWe,$80-$100,$6-$8,$6-$8,Yes,$500-$1000,Yes,5,90.0
rlr4e2,$20-$40,$8-$10,More than $20,Yes,"More than $1,000",Yes,2,30.0
6dQlqY,$40-$60,$6-$8,$6-$8,Yes,$100-$300,Yes,3,50.0
8dpB2A,$40-$60,$6-$8,$6-$8,Yes,$500-$1000,Yes,3,50.0
NABj2p,$20-$40,$4-$6,$2-$4,Yes,$500-$1000,Yes,2,30.0
oAVPaM,$60-$80,$10-$15,More than $20,No,"More than $1,000",Yes,4,70.0
DVv89p,$40-$60,$6-$8,More than $20,No,$500-$1000,Yes,3,50.0
jB9RLJ,$20-$40,$10-$15,$8-$10,Yes,$100-$300,Yes,2,30.0
rlrZXl,$20-$40,$6-$8,$8-$10,Yes,$300-$500,Yes,2,30.0
XeBbpg,$20-$40,$8-$10,$8-$10,No,$500-$1000,Yes,2,30.0
ZdR7e0,$40-$60,$8-$10,More than $20,No,$500-$1000,Yes,3,50.0
WApWQJ,$20-$40,$10-$15,$10-$15,Yes,$20-$50,Yes,2,30.0
XeBaWz,$20-$40,$6-$8,More than $20,No,$500-$1000,Yes,2,30.0
xdNqzG,$20-$40,,,,,,2,30.0
WApWxv,$40-$60,$8-$10,$8-$10,Yes,"More than $1,000",Yes,3,50.0
AlbgoD,$20-$40,$6-$8,$6-$8,No,$500-$1000,No,2,30.0
dY2MBK,$20-$40,$8-$10,$10-$15,Yes,"More than $1,000",Yes,2,30.0
aBrROv,,,,,,,,
jB9jDa,$40-$60,$8-$10,$8-$10,No,$500-$1000,Yes,3,50.0
jB9RO4,$40-$60,$6-$8,More than $20,Yes,$300-$500,Yes,3,50.0
EPbRj4,<$20,$6-$8,$6-$8,No,Less than $20,No,1,10.0
8dpX1O,$40-$60,$8-$10,More than $20,Yes,$100-$300,Yes,3,50.0
OAB6l8,$20-$40,$8-$10,$8-$10,No,$20-$50,Yes,2,30.0
J2kPNR,$40-$60,$8-$10,$15-$20,Yes,$300-$500,Yes,3,50.0
ylqBN4,$40-$60,$10-$15,$15-$20,Yes,$50-$100,No,3,50.0
LdMrQp,$20-$40,$6-$8,$8-$10,No,$100-$300,Yes,2,30.0
42N6WX,$20-$40,$4-$6,$8-$10,No,$100-$300,Yes,2,30.0
RzBAWd,$80-$100,$10-$15,More than $20,Yes,$100-$300,Yes,5,90.0
oAVq21,$20-$40,$6-$8,$8-$10,Yes,"More than $1,000",Yes,2,30.0
BGbyPK,$20-$40,$6-$8,$8-$10,Yes,$100-$300,Yes,2,30.0
OAB648,$60-$80,$10-$15,More than $20,Yes,$300-$500,Yes,4,70.0
KMB9Q8,$40-$60,$6-$8,More than $20,No,"More than $1,000",Yes,3,50.0
rlr4zR,$40-$60,$4-$6,$4-$6,No,$100-$300,Yes,3,50.0
5dq7WE,<$20,$6-$8,$6-$8,No,$100-$300,Yes,1,10.0
eBxV50,<$20,$4-$6,$2-$4,No,"More than $1,000",Yes,1,10.0
vNxlyd,$60-$80,$10-$15,$10-$15,Yes,"More than $1,000",Yes,4,70.0
LdMePG,$20-$40,$8-$10,$10-$15,No,$100-$300,Yes,2,30.0
EPbRyr,<$20,$6-$8,$6-$8,Yes,$100-$300,Yes,1,10.0
vNxZ70,$20-$40,$15-$20,More than $20,Yes,"More than $1,000",Yes,2,30.0
9dJ8D1,$20-$40,$8-$10,$10-$15,Yes,$100-$300,Yes,2,30.0
WApLzP,$20-$40,$8-$10,$10-$15,Yes,$100-$300,Yes,2,30.0
NABaJp,,,,,,,,
9dJ8Np,<$20,$10-$15,$10-$15,Yes,$20-$50,Yes,1,10.0
AlbEzk,$40-$60,$6-$8,$10-$15,Yes,$300-$500,Yes,3,50.0
MAdWKM,$20-$40,$8-$10,$10-$15,Yes,$100-$300,Yes,2,30.0
EPb2PL,$60-$80,$8-$10,More than $20,Yes,$300-$500,Yes,4,70.0
xdNAp9,$40-$60,$10-$15,$15-$20,Yes,$100-$300,Yes,3,50.0
5dqJKo,$20-$40,$8-$10,$6-$8,No,$500-$1000,Yes,2,30.0
rlrejl,$40-$60,$8-$10,$6-$8,Yes,$300-$500,Yes,3,50.0
7d9yRP,$20-$40,$15-$20,$6-$8,Yes,$500-$1000,Yes,2,30.0
rlre6L,$20-$40,$6-$8,$8-$10,No,$50-$100,Yes,2,30.0
DVvjzj,$40-$60,$4-$6,$8-$10,No,"More than $1,000",Yes,3,50.0
dY2Oqo,$40-$60,$6-$8,$8-$10,Yes,$300-$500,Yes,3,50.0
AlbE6y,$20-$40,$6-$8,More than $20,Yes,$100-$300,Yes,2,30.0
pLPQP1,,,,,,,,
J2kQlJ,$20-$40,$10-$15,$15-$20,No,$300-$500,Yes,2,30.0
EPb20A,$40-$60,$8-$10,More than $20,Yes,"More than $1,000",Yes,3,50.0
BGbrD1,$80-$100,$6-$8,$8-$10,Yes,$500-$1000,No,5,90.0
RzBABK,<$20,$2-$4,$4-$6,Yes,Less than $20,Yes,1,10.0
oAVqB5,$40-$60,$10-$15,$10-$15,No,$100-$300,Yes,3,50.0
ylqB9p,,$8-$10,$10-$15,No,$300-$500,Yes,,
xdNAQE,>$100,$15-$20,More than $20,No,"More than $1,000",Yes,6,110.0
1r2LM4,$20-$40,$10-$15,$10-$15,Yes,$100-$300,Yes,2,30.0
rlredX,$20-$40,$8-$10,$10-$15,Yes,Less than $20,Yes,2,30.0
vNxlql,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
XeBplg,$20-$40,$4-$6,$6-$8,Yes,$500-$1000,Yes,2,30.0
EPb2do,$40-$60,$6-$8,More than $20,Yes,"More than $1,000",Yes,3,50.0
24xW0D,$20-$40,$6-$8,$6-$8,No,$100-$300,Yes,2,30.0
oAVqvP,$20-$40,$8-$10,$8-$10,No,"More than $1,000",Yes,2,30.0
J2kQMR,$20-$40,$6-$8,$8-$10,No,$50-$100,Yes,2,30.0
lNlxDk,$20-$40,$6-$8,$10-$15,Yes,$100-$300,Yes,2,30.0
ylqBx6,$20-$40,$8-$10,$8-$10,Yes,$20-$50,Yes,2,30.0
GrBZqL,$40-$60,$8-$10,$15-$20,Yes,$300-$500,Yes,3,50.0
lNlxzk,<$20,$2-$4,$4-$6,No,$100-$300,Yes,1,10.0
ZdRMve,$20-$40,$4-$6,$6-$8,Yes,$20-$50,Yes,2,30.0
jB9jga,$40-$60,$6-$8,$8-$10,No,$300-$500,Yes,3,50.0
aBrRzB,<$20,$8-$10,$4-$6,No,$100-$300,Yes,1,10.0
oAVq0b,$40-$60,$8-$10,$8-$10,Yes,Less than $20,Yes,3,50.0
XeBpQg,$20-$40,$4-$6,$6-$8,No,$500-$1000,Yes,2,30.0
pLPQ48,$80-$100,$10-$15,$10-$15,Yes,$50-$100,Yes,5,90.0
8dpXyx,,,,,,,,
oAVqaV,,,,,,,,
6dQgAY,$80-$100,$8-$10,$10-$15,Yes,$500-$1000,Yes,5,90.0
xdNAoy,<$20,$8-$10,$8-$10,Yes,Less than $20,Yes,1,10.0
ylqBoX,<$20,$8-$10,$10-$15,Yes,Less than $20,Yes,1,10.0
eBxV8q,$40-$60,$8-$10,$10-$15,Yes,$100-$300,Yes,3,50.0
oAVqa1,<$20,$6-$8,$6-$8,No,Less than $20,Yes,1,10.0
24xpyV,$80-$100,$6-$8,$6-$8,No,"More than $1,000",,5,90.0
0EjKGN,$60-$80,$10-$15,$6-$8,Yes,$300-$500,Yes,4,70.0
1r2LyW,$80-$100,$4-$6,$6-$8,No,"More than $1,000",Yes,5,90.0
NABavG,$40-$60,$8-$10,$10-$15,Yes,$300-$500,Yes,3,50.0
oAVq6P,,$8-$10,,Yes,$20-$50,Yes,,
YZz1bq,$40-$60,$6-$8,,No,$500-$1000,No,3,50.0
EPb2gX,$80-$100,More than $20,More than $20,Yes,$300-$500,Yes,5,90.0
PAB78B,$60-$80,$6-$8,$6-$8,Yes,$100-$300,Yes,4,70.0
8dpX8r,$20-$40,$4-$6,$8-$10,Yes,$100-$300,Yes,2,30.0
WApLda,$40-$60,$8-$10,More than $20,Yes,"More than $1,000",Yes,3,50.0
0EjKy6,$20-$40,$4-$6,$4-$6,No,$300-$500,Yes,2,30.0
YZz1A0,<$20,$6-$8,$6-$8,No,Less than $20,Yes,1,10.0
g5NEKJ,,,,,,,,
xdNA59,$20-$40,$4-$6,$8-$10,Yes,$500-$1000,Yes,2,30.0
dY2Ooz,$40-$60,$10-$15,$15-$20,Yes,$500-$1000,Yes,3,50.0
NABaRj,$40-$60,More than $20,More than $20,Yes,$500-$1000,Yes,3,50.0
QABbZl,$20-$40,$4-$6,$4-$6,No,"More than $1,000",Yes,2,30.0
5dqJoM,$80-$100,$8-$10,$10-$15,No,$300-$500,Yes,5,90.0
rlreXp,$20-$40,$4-$6,$6-$8,Yes,$50-$100,Yes,2,30.0
8dpXYA,$20-$40,$4-$6,$4-$6,,$500-$1000,Yes,2,30.0
KMB9AM,$40-$60,$6-$8,$8-$10,No,$50-$100,Yes,3,50.0
WApLLL,$20-$40,$4-$6,$4-$6,Yes,$20-$50,Yes,2,30.0
AlbEVy,$40-$60,$6-$8,$6-$8,No,$100-$300,Yes,3,50.0
vNxl7g,>$100,More than $20,More than $20,No,"More than $1,000",Yes,6,110.0
GrBZNe,$60-$80,$10-$15,More than $20,Yes,"More than $1,000",No,4,70.0
YZz18v,$20-$40,$4-$6,$4-$6,No,$500-$1000,Yes,2,30.0
AlbkLk,,,,,,,,
7d9yy6,$20-$40,$8-$10,$4-$6,Yes,$100-$300,Yes,2,30.0
ylqB1g,$40-$60,$10-$15,$10-$15,Yes,"More than $1,000",Yes,3,50.0
PAB7M1,<$20,$6-$8,$2-$4,No,$50-$100,Yes,1,10.0
zKQVxM,$60-$80,$8-$10,$8-$10,Yes,$500-$1000,Yes,4,70.0
lNlx8p,$40-$60,More than $20,More than $20,Yes,"More than $1,000",Yes,3,50.0
5dqNjo,$60-$80,$10-$15,More than $20,Yes,$500-$1000,Yes,4,70.0
GrBMKZ,,,,,,,,
jB9j11,$40-$60,$8-$10,More than $20,Yes,$100-$300,Yes,3,50.0
5dqJYM,$80-$100,More than $20,More than $20,Yes,$100-$300,Yes,5,90.0
kYR2Dr,<$20,$10-$15,More than $20,No,Less than $20,,1,10.0
zKQV7a,>$100,$6-$8,$10-$15,No,"More than $1,000",Yes,6,110.0
8dp9Nz,$60-$80,$10-$15,$10-$15,Yes,Less than $20,Yes,4,70.0
vNxlRX,$60-$80,$6-$8,$6-$8,Yes,$100-$300,Yes,4,70.0
9dJe7p,$80-$100,$10-$15,More than $20,No,"More than $1,000",Yes,5,90.0
VZ1Kkj,$20-$40,$8-$10,More than $20,No,$100-$300,Yes,2,30.0
WAp48j,$40-$60,$8-$10,$4-$6,No,$20-$50,Yes,3,50.0
MAdWMA,$80-$100,$6-$8,$10-$15,Yes,$300-$500,Yes,5,90.0
xdNGXv,$20-$40,$4-$6,$6-$8,No,$50-$100,,2,30.0
PABo6b,$20-$40,$6-$8,$6-$8,Yes,"More than $1,000",Yes,2,30.0
OAB6OM,$40-$60,$10-$15,$10-$15,Yes,"More than $1,000",No,3,50.0
6dQqO5,,,,,,,,
kYR2Ld,$40-$60,$8-$10,$6-$8,Yes,$100-$300,Yes,3,50.0
0Ej4MZ,$40-$60,$8-$10,$8-$10,Yes,$100-$300,Yes,3,50.0
BGbvpQ,$20-$40,$6-$8,$6-$8,Yes,$50-$100,Yes,2,30.0
8dp9L5,$60-$80,More than $20,More than $20,Yes,"More than $1,000",Yes,4,70.0
8dp9po,,,,,,,,
EPbpKr,$40-$60,$10-$15,$15-$20,Yes,$20-$50,Yes,3,50.0
MAd0AX,$80-$100,$15-$20,$15-$20,Yes,$300-$500,Yes,5,90.0
DVvLzq,$80-$100,$8-$10,$8-$10,Yes,$500-$1000,Yes,5,90.0
XeBjEd,$40-$60,$8-$10,$8-$10,No,"More than $1,000",Yes,3,50.0
OABRPK,$40-$60,,,,,,3,50.0
qbEyL9,<$20,$4-$6,$4-$6,Yes,Less than $20,Yes,1,10.0
AlbkDW,$80-$100,$15-$20,More than $20,No,"More than $1,000",Yes,5,90.0
bl4axo,$20-$40,$6-$8,$10-$15,No,$500-$1000,Yes,2,30.0
DVvLV5,>$100,$10-$15,$6-$8,Yes,$500-$1000,Yes,6,110.0
8dp9jk,<$20,$2-$4,$2-$4,Yes,$20-$50,Yes,1,10.0
24x2LA,$40-$60,$6-$8,$8-$10,Yes,$300-$500,Yes,3,50.0
GrBM1j,$40-$60,$8-$10,$6-$8,No,$20-$50,Yes,3,50.0
1r2L1g,$40-$60,$10-$15,$15-$20,No,$100-$300,Yes,3,50.0
9dJelG,$60-$80,$6-$8,$6-$8,No,$500-$1000,Yes,4,70.0
xdNG0E,$40-$60,$10-$15,$15-$20,Yes,$500-$1000,Yes,3,50.0
24x2vA,$40-$60,$10-$15,$10-$15,Yes,"More than $1,000",Yes,3,50.0
LdM8M2,$40-$60,$8-$10,$8-$10,Yes,$100-$300,Yes,3,50.0
MAd0Ml,,,,,,,,
jB9KW6,$20-$40,$8-$10,$10-$15,Yes,$100-$300,Yes,2,30.0
NABz8N,$20-$40,$4-$6,$4-$6,No,$100-$300,Yes,2,30.0
bl4aL2,$20-$40,$4-$6,$4-$6,No,$100-$300,Yes,2,30.0
J2ky8z,$40-$60,$10-$15,$15-$20,Yes,"More than $1,000",Yes,3,50.0
ZdRxV0,$20-$40,$6-$8,$6-$8,No,$50-$100,Yes,2,30.0
PABo0Q,$40-$60,$4-$6,$4-$6,No,$100-$300,Yes,3,50.0
g5NBYM,,,,,,,,
0Ej4lB,$20-$40,$8-$10,$8-$10,Yes,$100-$300,Yes,2,30.0
QABGxl,$60-$80,$8-$10,More than $20,Yes,"More than $1,000",Yes,4,70.0
24x2DM,$40-$60,$8-$10,$10-$15,Yes,"More than $1,000",Yes,3,50.0
MAd0qA,$20-$40,$4-$6,$6-$8,Yes,$100-$300,Yes,2,30.0
ZdRxgB,$60-$80,$8-$10,$8-$10,No,"More than $1,000",Yes,4,70.0
lNlp2B,>$100,$10-$15,$8-$10,Yes,Less than $20,No,6,110.0
42NZeo,,,,,,,,
RzBOa9,<$20,,,,,,1,10.0
GrBMjZ,$40-$60,$6-$8,$8-$10,Yes,$300-$500,Yes,3,50.0
YZz2Ad,$60-$80,$6-$8,$6-$8,No,$500-$1000,No,4,70.0
dY274o,$20-$40,$10-$15,$15-$20,Yes,$100-$300,Yes,2,30.0
PABoP1,<$20,$8-$10,$8-$10,Yes,$300-$500,Yes,1,10.0
GrBMEp,$40-$60,$10-$15,$15-$20,No,$100-$300,Yes,3,50.0
24x2qb,,,,,,,,
NABz2Q,$80-$100,$15-$20,More than $20,Yes,$500-$1000,Yes,5,90.0
g5NB6d,<$20,$4-$6,$6-$8,No,$20-$50,Yes,1,10.0
aBrWJv,$40-$60,$15-$20,More than $20,Yes,$300-$500,Yes,3,50.0
42NZA5,>$100,$6-$8,More than $20,No,"More than $1,000",Yes,6,110.0
RzBOyJ,$80-$100,$15-$20,More than $20,Yes,"More than $1,000",Yes,5,90.0
lNlp8B,$20-$40,$6-$8,$6-$8,Yes,$500-$1000,Yes,2,30.0
EPbp2o,$20-$40,$10-$15,$10-$15,Yes,$100-$300,Yes,2,30.0
VZ1rGy,<$20,$6-$8,$8-$10,No,$100-$300,Yes,1,10.0
kYRqad,$20-$40,$10-$15,More than $20,No,"More than $1,000",Yes,2,30.0
0Ej4X0,<$20,$6-$8,$8-$10,,$300-$500,Yes,1,10.0
eBxbko,$40-$60,$4-$6,$8-$10,Yes,"More than $1,000",Yes,3,50.0
lNlQrN,,,,,,,,
bl4P96,$80-$100,More than $20,More than $20,Yes,$300-$500,Yes,5,90.0
MAd0WY,$40-$60,$10-$15,More than $20,No,$500-$1000,Yes,3,50.0
9dJe8G,<$20,$6-$8,$8-$10,No,Less than $20,Yes,1,10.0
vNxkjX,<$20,$4-$6,$6-$8,Yes,Less than $20,Yes,1,10.0
VZ1rXg,<$20,$6-$8,$6-$8,Yes,$50-$100,Yes,1,10.0
zKQVV8,$60-$80,$10-$15,$6-$8,Yes,Less than $20,Yes,4,70.0
QABGgl,$60-$80,$10-$15,$10-$15,Yes,$500-$1000,Yes,4,70.0
EPb9ll,<$20,$4-$6,$6-$8,No,$20-$50,Yes,1,10.0
24x26V,$40-$60,$8-$10,$10-$15,Yes,"More than $1,000",Yes,3,50.0
AlbZBe,$40-$60,$10-$15,$15-$20,Yes,$100-$300,Yes,3,50.0
ylqLXd,$20-$40,,,,,,2,30.0
qbEyyd,$60-$80,$8-$10,$8-$10,No,$100-$300,Yes,4,70.0
KMBbM8,<$20,$4-$6,$6-$8,Yes,$100-$300,Yes,1,10.0
9dJVXE,$40-$60,$8-$10,$8-$10,Yes,$300-$500,Yes,3,50.0
zKQl7M,$20-$40,$6-$8,$4-$6,Yes,$300-$500,Yes,2,30.0
pLParP,$40-$60,$6-$8,$6-$8,No,"More than $1,000",Yes,3,50.0
VZ1g0g,$40-$60,$6-$8,$6-$8,Yes,$300-$500,Yes,3,50.0
GrBW9e,$20-$40,$4-$6,$6-$8,No,$50-$100,Yes,2,30.0
aBrWpq,$40-$60,$10-$15,More than $20,Yes,$500-$1000,Yes,3,50.0
8dpOeO,,,,,,,,
5dqRxZ,$20-$40,$8-$10,$10-$15,No,"More than $1,000",Yes,2,30.0
jB9Ne1,$20-$40,$8-$10,$10-$15,Yes,$100-$300,Yes,2,30.0
KMBbo8,$60-$80,$8-$10,$8-$10,Yes,"More than $1,000",Yes,4,70.0
DVvQKl,<$20,$4-$6,$6-$8,Yes,Less than $20,Yes,1,10.0
dY2rYo,$60-$80,$6-$8,More than $20,No,"More than $1,000",Yes,4,70.0
24x2Jb,$40-$60,$10-$15,More than $20,Yes,"More than $1,000",Yes,3,50.0
KMBbkK,,,,,,,,
ylqL9x,<$20,$2-$4,$2-$4,Yes,$20-$50,Yes,1,10.0
BGbNGQ,$60-$80,$8-$10,$8-$10,Yes,$500-$1000,Yes,4,70.0
g5N2AO,$20-$40,$4-$6,$8-$10,Yes,$100-$300,Yes,2,30.0
eBx4zJ,$20-$40,$10-$15,$8-$10,Yes,$300-$500,Yes,2,30.0
eBx4lx,,,,,,,,
VZ1gxN,$40-$60,$8-$10,$10-$15,Yes,$500-$1000,Yes,3,50.0
EPb9Y2,$20-$40,More than $20,More than $20,Yes,"More than $1,000",Yes,2,30.0
XeBX9e,$20-$40,$6-$8,$4-$6,No,$20-$50,Yes,2,30.0
oAVWQN,$60-$80,$10-$15,$8-$10,Yes,$300-$500,Yes,4,70.0
6dQoVo,$80-$100,$15-$20,$15-$20,Yes,"More than $1,000",No,5,90.0
vNxkK8,,$4-$6,$4-$6,Yes,$100-$300,Yes,,
NABzGb,$40-$60,$8-$10,More than $20,Yes,$300-$500,Yes,3,50.0
EPb9El,>$100,$15-$20,$15-$20,Yes,$300-$500,Yes,6,110.0
pLPgv1,$20-$40,$10-$15,$8-$10,No,$20-$50,Yes,2,30.0
