submission_id,age,gender,education_level,employment_status,number_children,work_from_home,cups_per_day,where_drink,brew_methods,purchase_locations,favorite_drink,preferred_style,preferred_strength,preferred_roast_level,caffeine_preference,expertise,likes_coffee_taste,knows_coffee_source,expertise_segment,expertise_segment_order,monthly_coffee_spend,monthly_spend_band_order,estimated_monthly_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,is_premium_customer,preferred_abc,preferred_a_or_d,preferred_overall
42N6r5,25-34 years old,Male,Some college or associate's degree,Student,,I primarily work from home,1,At home,"Espresso, Pour over, Coffee extract (e.g. Cometeer)",,Latte,Caramalized,Very strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,No,$100-$300,Yes,0,Coffee B,Coffee D,Coffee D
eBxXOl,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,"At home, At a cafe, On the go","French press, Espresso, Cold brew","National chain (e.g. Starbucks, Dunkin), Local cafe",Cappuccino,Nutty,Medium,Medium,Full caffeine,5.0,No,No,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$4-$6,No,$50-$100,Yes,0,Coffee C,Coffee D,Coffee D
7d9krR,55-64 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work from home,1,At home,"Bean-to-cup machine, Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,Latte,Caramalized,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$6-$8,$8-$10,Yes,$300-$500,Yes,0,Coffee C,Coffee A,Coffee C
PABxD0,35-44 years old,Female,High school graduate,Employed full-time,2,I primarily work in person,1,"At the office, At home",Cold brew,,Blended drink (e.g. Frappuccino),Sweet,Medium,Medium,Full caffeine,4.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,Yes,$20-$50,Yes,0,Coffee B,Coffee A,Coffee A
24x6qp,45-54 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work in person,1,At home,"Pour over, Other",,Regular drip coffee,Chocolatey,Very strong,Dark,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$4-$6,$4-$6,Yes,$100-$300,Yes,0,Coffee B,Coffee D,Coffee B
ZdR7OA,25-34 years old,Male,Master's degree,Student,,I do a mix of both,1,At home,Pour over,,Other,Floral,Somewhat strong,Light,Full caffeine,2.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$6-$8,More than $20,Yes,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
pLPEBP,18-24 years old,Male,Bachelor's degree,Student,,I primarily work in person,2,At home,Pour over,,Pourover,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,$10-$15,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
YZzA85,35-44 years old,Male,Some college or associate's degree,Employed part-time,,I primarily work in person,2,"At home, On the go, At a cafe","Pour over, Espresso",Specialty coffee shop,Pourover,Floral,Medium,Nordic,Full caffeine,8.0,Yes,Yes,Advanced,3,>$100,6.0,110.0,More than $20,$10-$15,No,"More than $1,000",No,1,Coffee A,Coffee A,Coffee A
AlbgPB,25-34 years old,Male,High school graduate,Employed full-time,,I primarily work in person,1,At home,Other,,Americano,Chocolatey,Somewhat strong,Dark,Half caff,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$10-$15,No,$300-$500,Yes,0,Coffee C,Coffee A,Coffee C
GrBPEL,25-34 years old,Female,Master's degree,Employed full-time,,I primarily work in person,2,"At home, At the office, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Instant coffee",,Latte,Bold,Medium,Italian,Full caffeine,5.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$4-$6,No,Less than $20,Yes,0,Coffee C,Coffee A,Coffee C
OABNO7,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,Cold brew,,Cold brew,Nutty,Somewhat strong,Medium,Full caffeine,5.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$15-$20,No,$100-$300,Yes,0,Coffee B,Coffee A,Coffee B
dY2M0N,35-44 years old,Male,Master's degree,Employed full-time,,I do a mix of both,2,"At home, At the office",Espresso,,Latte,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$4-$6,$4-$6,No,"More than $1,000",Yes,0,Coffee C,Coffee D,Coffee C
oAVP25,25-34 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work from home,2,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",,Pourover,Fruity,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,Yes,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
VZ1eGE,25-34 years old,,,,,,Less than 1,At home,"Pour over, Other",,Latte,Floral,Somewhat light,Light,Full caffeine,1.0,,,Beginner,1,,,,,,,,,0,Coffee A,Coffee D,Coffee D
jB9RlY,35-44 years old,Male,Bachelor's degree,Unemployed,1,I do a mix of both,1,At home,Pour over,,Regular drip coffee,Fruity,Somewhat strong,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$10-$15,No,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
6dQBXB,35-44 years old,Male,Bachelor's degree,Unemployed,,I primarily work from home,2,"At home, At a cafe","Pour over, Espresso",,Espresso,Juicy,Somewhat strong,Nordic,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,More than $20,$10-$15,No,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
rlrZzv,35-44 years old,,,,,,1,"At home, On the go",Pour over,Specialty coffee shop,Pourover,Nutty,Somewhat strong,Medium,Half caff,4.0,,,Intermediate,2,,,,,,,,,0,Coffee C,Coffee A,Coffee C
J2kPqY,35-44 years old,Male,High school graduate,Employed full-time,,I primarily work from home,2,"At home, At a cafe","French press, Espresso, Other",,Americano,Fruity,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$15-$20,$15-$20,Yes,$500-$1000,Yes,0,Coffee B,Coffee D,Coffee A
EPbOGB,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work in person,1,At home,"Pour over, Espresso",,Cappuccino,Caramalized,Somewhat strong,Medium,Full caffeine,6.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$8-$10,No,"More than $1,000",Yes,0,Coffee C,Coffee D,Coffee C
eBxJ5E,45-54 years old,,,,,,,At home,Other,,Latte,Caramalized,Somewhat strong,Light,Full caffeine,6.0,,,Intermediate,2,,,,,,,,,0,Coffee C,Coffee A,Coffee C
ylqQJ6,55-64 years old,Male,Bachelor's degree,Retired,,I primarily work from home,1,"At home, At a cafe, On the go",Pour over,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",Pourover,Fruity,Medium,Medium,Half caff,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$6-$8,No,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
QABZ2g,35-44 years old,Male,Some college or associate's degree,Employed full-time,1,I primarily work in person,1,"At the office, At home","Espresso, Other",,Americano,Full Bodied,Somewhat strong,Dark,Half caff,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$8-$10,No,"More than $1,000",Yes,0,Coffee B,Coffee A,Coffee B
EPbRPl,25-34 years old,,,,,,Less than 1,"At the office, At home",French press,,Mocha,Chocolatey,Medium,Dark,Full caffeine,,,,Unknown,5,,,,,,,,,0,Coffee B,Coffee D,Coffee B
bl4JPg,35-44 years old,Female,Bachelor's degree,Employed full-time,1,I do a mix of both,1,"At home, At the office","French press, Cold brew",,Cold brew,Caramalized,Medium,Dark,Decaf,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$4-$6,$10-$15,Yes,$100-$300,Yes,0,Coffee C,Coffee D,Coffee C
vNxZGA,25-34 years old,Female,Some college or associate's degree,Unemployed,,I primarily work from home,2,At home,"Pour over, Espresso, Other",,Espresso,Bright,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$8-$10,$10-$15,Yes,$300-$500,Yes,1,Coffee A,Coffee D,Coffee D
YZz6ZN,35-44 years old,Female,Less than high school,Homemaker,1,I primarily work from home,1,At home,Pour over,,Pourover,Juicy,Somewhat strong,Medium,Full caffeine,5.0,Yes,No,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,No,$100-$300,Yes,0,Coffee C,Coffee D,Coffee C
0Ej9d0,35-44 years old,Female,Bachelor's degree,Employed full-time,More than 3,I do a mix of both,1,"At home, At the office, On the go",French press,"National chain (e.g. Starbucks, Dunkin)",Latte,Full Bodied,Very strong,Dark,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$10-$15,$10-$15,No,$50-$100,Yes,0,Coffee B,Coffee D,Coffee B
AlbgBo,35-44 years old,Female,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,Espresso,,Latte,Chocolatey,Very strong,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,No,$100-$300,Yes,0,Coffee B,Coffee A,Coffee B
0Ej9BQ,35-44 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,2,At home,"Espresso, Bean-to-cup machine, Cold brew",,Regular drip coffee,Bright,Somewhat strong,Light,Full caffeine,6.0,Yes,No,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,No,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
1r2eXO,25-34 years old,Male,Some college or associate's degree,Unemployed,,I primarily work from home,2,"At home, At the office",French press,,Cold brew,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$4-$6,No,$50-$100,Yes,0,Coffee C,Coffee A,Coffee C
VZ16WM,25-34 years old,Male,Doctorate or professional degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe","Pour over, Other",,Espresso,Floral,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$8-$10,$15-$20,Yes,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
vNx9oQ,18-24 years old,Male,Some college or associate's degree,Student,,I primarily work in person,2,"At a cafe, At home","Pour over, Espresso, Instant coffee",,Pourover,Sweet,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,More than $20,Yes,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
GrBGvj,18-24 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,"At home, At the office","Coffee brewing machine (e.g. Mr. Coffee), Espresso",,Regular drip coffee,Full Bodied,Medium,Dark,Full caffeine,5.0,Yes,No,Intermediate,2,<$20,1.0,10.0,$4-$6,$4-$6,No,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
g5Nl9M,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,2,"At home, At the office, At a cafe","Pour over, Espresso",,Regular drip coffee,Chocolatey,Somewhat strong,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$6-$8,Yes,"More than $1,000",Yes,0,Coffee B,Coffee A,Coffee B
qbEl89,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work in person,2,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,Pourover,Caramalized,Very strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$6-$8,$8-$10,Yes,$100-$300,Yes,0,Coffee B,Coffee D,Coffee B
9dJkdE,25-34 years old,,,,,I primarily work in person,1,On the go,,Specialty coffee shop,Iced coffee,Sweet,Somewhat light,Light,Full caffeine,3.0,No,No,Beginner,1,<$20,1.0,10.0,$6-$8,,,,,0,Coffee B,Coffee D,Coffee B
VZ162v,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe","Pour over, French press",,Cortado,Nutty,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$8-$10,Yes,$500-$1000,Yes,0,Coffee B,Coffee D,Coffee B
bl4pVe,45-54 years old,Female,Doctorate or professional degree,Employed full-time,,I primarily work from home,2,At home,Coffee brewing machine (e.g. Mr. Coffee),,Cortado,Nutty,Very strong,Dark,Full caffeine,3.0,Yes,Yes,Beginner,1,<$20,1.0,10.0,$8-$10,$10-$15,No,$100-$300,Yes,0,Coffee C,Coffee D,Coffee C
lNlG7v,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work in person,2,"At home, At the office",Coffee brewing machine (e.g. Mr. Coffee),,Regular drip coffee,Chocolatey,Very strong,Dark,Full caffeine,1.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$8-$10,$15-$20,No,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
aBrM8q,25-34 years old,Non-binary,Some college or associate's degree,Unemployed,2,I primarily work from home,1,At home,Pour over,,Latte,Chocolatey,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$80-$100,5.0,90.0,$10-$15,$15-$20,No,$300-$500,Yes,1,Coffee B,Coffee D,Coffee B
RzBNoP,18-24 years old,Male,Bachelor's degree,Employed part-time,,I primarily work in person,1,"At home, At a cafe","Pour over, Espresso",,Regular drip coffee,Juicy,Medium,Light,Full caffeine,9.0,Yes,Yes,Expert,4,$40-$60,3.0,50.0,$2-$4,$4-$6,Yes,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
EPbRQ2,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I do a mix of both,2,"At home, At a cafe","Pour over, Espresso",,Cortado,Fruity,Somewhat strong,Nordic,Full caffeine,6.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$10-$15,$10-$15,Yes,$500-$1000,Yes,0,Coffee B,Coffee D,Coffee D
ZdR7dV,35-44 years old,Male,Master's degree,Employed full-time,,I primarily work from home,1,At home,Coffee extract (e.g. Cometeer),,Cortado,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,,,,$6-$8,$8-$10,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
8dpBdl,25-34 years old,,,,,,3,"At home, On the go","Coffee brewing machine (e.g. Mr. Coffee), Cold brew, Pod/capsule machine (e.g. Keurig/Nespresso), Pour over, French press",Local cafe,Pourover,Bright,Medium,Medium,Full caffeine,6.0,,,Intermediate,2,,,,,,,,,0,Coffee A,Coffee A,Coffee A
xdNqrJ,35-44 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,4,At the office,,,Cold brew,Chocolatey,Somewhat strong,Dark,Full caffeine,6.0,Yes,No,Intermediate,2,$80-$100,5.0,90.0,$8-$10,$8-$10,Yes,$300-$500,Yes,0,Coffee C,Coffee D,Coffee C
GrBGlQ,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,Pour over,,Pourover,Fruity,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,More than $20,Yes,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
ZdRB40,45-54 years old,,,,,I primarily work from home,2,At home,"Espresso, Other",,Other,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,>$100,6.0,110.0,$6-$8,$8-$10,No,$500-$1000,Yes,1,Coffee B,Coffee D,Coffee D
7d9AW2,25-34 years old,Male,Bachelor's degree,Student,,I do a mix of both,2,"At home, At a cafe",Pour over,,Pourover,Floral,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$15-$20,$15-$20,Yes,$50-$100,Yes,0,Coffee A,Coffee A,Coffee A
PABqMQ,45-54 years old,Male,Master's degree,Employed full-time,,I primarily work from home,3,"At the office, On the go, At home","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew","Specialty coffee shop, Drive-thru, Deli or supermarket",Pourover,Fruity,Medium,Light,Full caffeine,4.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$6-$8,More than $20,No,"More than $1,000",Yes,0,Coffee B,Coffee D,Coffee B
jB9RGa,25-34 years old,,,,,,Less than 1,At a cafe,,,Latte,Chocolatey,Medium,Dark,Full caffeine,1.0,,,Beginner,1,,,,,,,,,0,Coffee B,Coffee D,Coffee B
0Ej9V0,25-34 years old,Male,,,,I do a mix of both,3,At home,"Espresso, Instant coffee",,Cortado,Floral,Medium,Light,Full caffeine,6.0,Yes,No,Intermediate,2,$80-$100,5.0,90.0,$8-$10,$8-$10,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
g5Nl5P,25-34 years old,Female,Some college or associate's degree,Unemployed,,I primarily work from home,2,"At home, At a cafe, On the go",Pour over,"Specialty coffee shop, Local cafe",Pourover,Floral,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,More than $20,More than $20,Yes,"More than $1,000",Yes,1,Coffee A,Coffee D,Coffee D
Albgdl,25-34 years old,Male,Doctorate or professional degree,Employed full-time,,I primarily work in person,2,"At the office, At home","Bean-to-cup machine, Cold brew",,Cappuccino,Nutty,Somewhat strong,Medium,Full caffeine,3.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$8-$10,$8-$10,No,"More than $1,000",Yes,0,Coffee B,Coffee A,Coffee B
42N6Ak,18-24 years old,,,,,,3,"At a cafe, At home","Pour over, Espresso",,Espresso,Sweet,Medium,Light,Full caffeine,8.0,,,Advanced,3,,,,,,,,,0,Coffee A,,Coffee D
zKQ9ME,55-64 years old,Female,Bachelor's degree,Employed full-time,3,I primarily work in person,1,At the office,,,Latte,Bold,Somewhat strong,Dark,Full caffeine,7.0,Yes,Yes,Advanced,3,$80-$100,5.0,90.0,$8-$10,$8-$10,Yes,$300-$500,Yes,1,Coffee B,Coffee A,Coffee B
DVv85N,35-44 years old,Male,Bachelor's degree,Employed full-time,More than 3,I primarily work from home,2,"At home, At the office","Pour over, Espresso",,Pourover,Fruity,Very strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$6-$8,$6-$8,No,$500-$1000,Yes,1,Coffee B,Coffee D,Coffee B
VZ1e8M,55-64 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work in person,1,"At home, At the office",Pod/capsule machine (e.g. Keurig/Nespresso),,Regular drip coffee,Nutty,Medium,Medium,Full caffeine,1.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$6-$8,$6-$8,No,$100-$300,Yes,0,Coffee B,Coffee A,Coffee B
aBrLEb,35-44 years old,Non-binary,Bachelor's degree,Employed part-time,,I primarily work from home,2,"At home, At a cafe","Pour over, Espresso",,Pourover,Caramalized,Medium,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$15-$20,More than $20,No,$500-$1000,Yes,0,Coffee B,Coffee A,Coffee B
24x6Wj,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,2,"At home, At a cafe","Pour over, Other",,Other,Bright,Somewhat light,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$6-$8,Yes,$50-$100,Yes,0,Coffee B,Coffee A,Coffee B
pLPEL1,>65 years old,Male,Bachelor's degree,Retired,,,3,At home,"Espresso, Instant coffee",,Espresso,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$6-$8,Yes,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
qbErYG,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,4,At home,Espresso,,Espresso,Full Bodied,Very strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$8-$10,$8-$10,Yes,$500-$1000,Yes,0,Coffee C,Coffee A,Coffee C
6dQlWP,35-44 years old,Male,Master's degree,Employed full-time,2,I primarily work from home,3,At home,"Pour over, Espresso",,Espresso,Fruity,Somewhat strong,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$10-$15,More than $20,Yes,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
OAB2Aa,25-34 years old,Female,Master's degree,Employed part-time,,I do a mix of both,2,"At a cafe, At home","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso",,Cappuccino,Bright,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$10-$15,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
OAB2b7,25-34 years old,Male,Doctorate or professional degree,Unemployed,,I primarily work from home,2,"On the go, At home, At a cafe",Pour over,Specialty coffee shop,Pourover,Fruity,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$8-$10,$10-$15,Yes,$500-$1000,Yes,1,Coffee A,Coffee D,Coffee D
vNxZMd,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,2,At home,"Pour over, Other",,Pourover,Sweet,Somewhat strong,Light,Decaf,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,More than $20,$4-$6,No,$50-$100,Yes,0,Coffee A,Coffee D,Coffee D
eBxXVe,45-54 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work from home,2,At home,Pour over,,Espresso,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$80-$100,5.0,90.0,$15-$20,More than $20,Yes,$500-$1000,Yes,1,Coffee A,Coffee D,Coffee D
DVvG6Z,35-44 years old,Female,Bachelor's degree,Employed part-time,,I primarily work in person,Less than 1,At the office,,,Latte,Floral,Somewhat light,Medium,Decaf,1.0,Yes,No,Beginner,1,$60-$80,4.0,70.0,$8-$10,$10-$15,No,Less than $20,No,0,Coffee C,Coffee D,Coffee D
QABQqX,35-44 years old,Female,Bachelor's degree,Employed full-time,,I primarily work in person,Less than 1,At home,"Instant coffee, Pour over",,Iced coffee,Nutty,Somewhat strong,Dark,Decaf,5.0,Yes,No,Intermediate,2,<$20,1.0,10.0,$4-$6,$2-$4,No,Less than $20,Yes,0,Coffee B,Coffee A,Coffee B
ZdR7Dy,18-24 years old,,,,,,2,"At the office, At a cafe, At home, On the go","Pour over, French press, Espresso","Local cafe, Specialty coffee shop, Deli or supermarket",Mocha,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,,,Intermediate,2,,,,,,,,,0,Coffee C,Coffee D,Coffee C
GrBGXp,45-54 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,2,At home,Other,,Mocha,Caramalized,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$10-$15,No,$50-$100,Yes,0,Coffee C,Coffee A,Coffee C
rlr4PX,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,At home,Other,,Cortado,Fruity,Very strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$6-$8,$8-$10,No,$50-$100,Yes,0,Coffee C,Coffee D,Coffee D
LdMr0l,35-44 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,2,"On the go, At a cafe, At home, At the office","Coffee brewing machine (e.g. Mr. Coffee), Espresso","National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop, Deli or supermarket",Latte,Full Bodied,Somewhat strong,Dark,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,Yes,$50-$100,Yes,0,Coffee B,Coffee D,Coffee B
eBxJ00,25-34 years old,Female,Master's degree,Employed full-time,,I primarily work from home,2,At the office,,,Regular drip coffee,Chocolatey,Somewhat strong,Dark,Full caffeine,2.0,Yes,No,Beginner,1,<$20,1.0,10.0,$6-$8,$8-$10,Yes,Less than $20,Yes,0,Coffee C,Coffee D,Coffee D
zKQ90R,25-34 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,2,"At the office, At home",Espresso,,Latte,Sweet,Medium,Dark,Full caffeine,1.0,No,Yes,Beginner,1,$40-$60,3.0,50.0,$8-$10,$8-$10,Yes,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
J2kPVo,35-44 years old,Male,Bachelor's degree,Unemployed,,,2,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee",,Latte,Bright,Medium,Medium,Full caffeine,3.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$10-$15,$10-$15,No,$100-$300,Yes,0,Coffee A,Coffee A,Coffee A
42N6jr,55-64 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work in person,3,"At the office, At home, On the go",Coffee brewing machine (e.g. Mr. Coffee),"National chain (e.g. Starbucks, Dunkin), Deli or supermarket",Pourover,Full Bodied,Medium,Medium,Full caffeine,4.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,Yes,Less than $20,Yes,0,Coffee B,Coffee D,Coffee D
qbErd5,35-44 years old,Female,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,"Coffee brewing machine (e.g. Mr. Coffee), Coffee extract (e.g. Cometeer), French press",,Regular drip coffee,Nutty,Medium,Light,Full caffeine,3.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$6-$8,$6-$8,,Less than $20,Yes,0,Coffee B,Coffee D,Coffee B
8dpBAO,25-34 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,2,"At home, At the office",Espresso,,Americano,Chocolatey,Somewhat strong,Dark,Full caffeine,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$4-$6,Yes,$300-$500,Yes,0,Coffee C,Coffee A,Coffee C
DVv81l,18-24 years old,Male,Some college or associate's degree,Employed part-time,,I primarily work in person,1,At home,"Pour over, Espresso",,Regular drip coffee,Chocolatey,Medium,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$8-$10,Yes,$300-$500,Yes,0,Coffee B,Coffee D,Coffee D
PABxBV,25-34 years old,Male,Master's degree,Homemaker,,I primarily work from home,1,At home,Pour over,,Pourover,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$4-$6,$6-$8,Yes,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
5dq7jb,35-44 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,1,At home,Pour over,,Pourover,Juicy,Medium,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$4-$6,Yes,$20-$50,Yes,0,Coffee B,Coffee D,Coffee D
1r2ePM,35-44 years old,Male,Some college or associate's degree,Employed full-time,,I do a mix of both,1,At home,Pour over,,Pourover,Juicy,,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,More than $20,More than $20,No,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
